ax,ay,az,gx,gy,gz
12960,-9492,2304,1449,-2676,2829
11768,-9536,4092,-8686,8043,11202
5112,-25492,-2040,-12437,-2359,15612
-8148,-24812,-6548,-3875,-16320,9088
-5368,-20788,-1432,10268,11149,-5759
-168,-10812,-3728,-3197,2353,-419
-1576,-7656,3448,-315,20350,-7065
1384,-10796,-568,4137,1054,-428
2916,-19860,6788,348,692,2739
-2104,-22776,-6716,-1534,-5310,-3152
1312,-9080,76,-3340,14728,1250
3440,804,3908,13925,8144,-291
6260,-17836,12236,2855,283,-394
3960,-11944,7776,-1666,-1995,-2241
2992,-16676,1808,1007,-3480,2736
3140,-12552,4868,-7675,-7811,10053
-5560,-3876,4,-10812,-11830,14126
-12956,-19084,-9756,-10099,6747,-2305
-9708,-16976,-9532,2748,-2989,-10834
448,-14188,-8176,15780,-5973,-19941
6900,-19044,4828,19490,8610,-5462
-5808,-2236,-860,-11268,-14896,6514
-10180,-22360,-5940,-9057,14508,-8671
-4464,-22148,-18052,-5183,9508,-12506
2144,-21684,-5048,11895,-3371,-7069
6596,-12716,6288,14113,-6385,-10246
13344,-6824,10492,4962,11583,-9054
10968,-10172,11376,-4097,-977,4067
6068,-11084,11548,-21464,1630,13556
1308,-19256,384,-21656,21665,2477
-680,-22044,-16932,8334,-15089,8809
-7796,-25824,-4484,14580,-1000,-2374
-904,-11680,28,4918,1035,-673
8448,-11540,12512,-19844,-658,11601
-3124,-15100,-4888,-18753,-1935,1479
-888,-23888,-5424,14756,-3653,-3900
-2992,-17564,-3020,5488,-8876,2867
-556,-10720,8028,-4234,32767,-6801
2108,-9124,5656,-4642,5786,-885
860,-15456,2216,-3771,-3040,1800
2984,-16088,2904,-393,632,707
3116,-11952,2116,-4370,-9900,8544
-6316,1684,-4564,-9855,-12301,6981
-9556,-20952,-3008,1092,27151,-8208
-7692,-23504,-21324,-5619,-5028,-19552
1936,-11960,4092,-2577,-11708,6463
-3624,5160,-5088,-5727,-6866,12961
-7228,-16312,-7816,-3238,13195,-3346
-3584,-15036,-25532,4744,4179,-6086
6976,-23656,-4772,12969,-1237,-7594
3756,-8256,680,15625,-4148,-17175
10000,-7104,22852,9326,20467,2052
7076,-9120,8136,-1954,-9011,877
7304,-13032,15484,-18124,3332,5973
3580,-17720,-2744,-16259,1725,6370
-580,-19828,-8384,-776,-8391,8307
-7084,-25480,-716,8588,-6046,-7413
12048,-8364,8248,-6338,330,4450
8884,-11032,9900,-13431,4902,8444
7116,-18072,1392,-16426,-1057,5984
-4156,-18364,-12924,1580,-11512,10389
-4436,-22648,2272,18024,4295,-8052
-684,-16160,-6036,2137,-3092,7
784,-8276,9440,-8577,13381,-1595
-40,-9988,1052,2595,4249,-4162
1576,-18100,4172,624,-7983,6405
2376,-15104,7012,-1813,4806,3210
-5968,-568,-3160,-12074,-17810,9741
-4276,-12760,-1000,-11536,25232,-1257
2420,-20652,2624,-1181,5606,3650
-260,-12844,432,-5979,-7460,5376
-2184,-1188,3192,-2688,-9068,6104
-7200,-24180,-7432,-8338,7147,-3311
-8240,-25472,-14760,9012,-2219,-4911
-1928,-20292,3844,17686,-10157,-6407
4336,-18780,14356,14115,9345,-8972
9360,-6140,8952,5461,-5943,-6421
14292,-5840,17952,2215,10279,-1683
11192,-6672,8992,-10643,-521,5105
9148,-9340,10228,-13931,-4395,1333
7052,-11676,5936,-9542,-10878,207
-15136,-16120,-12476,-13966,1701,2325
-16472,-27364,-11420,-1521,-11157,-13960
-3552,-16612,-8948,5637,-9197,-11719
660,-21196,12812,16941,6994,-5862
8388,-5588,13140,8664,2834,-5345
8608,-7048,20188,4794,2879,-3560
8448,-9696,11096,-10413,-3698,3733
7744,-8760,12948,-20143,-4036,5166
992,-13748,-7788,-19533,-7448,20871
-5592,-32768,-708,23642,-2007,17563
-5744,-20916,-4968,12288,-24220,4404
-5684,-20876,4804,-1517,17255,88
4840,-18460,7856,-23869,-8479,13551
-4844,-28784,-112,5889,6461,13056
-4704,-23240,532,7071,989,-1225
-632,-14872,4876,6851,960,-4004
88,-12928,3052,-7894,15388,-484
-1496,-7784,2916,-5982,-4220,1511
1116,-16420,4092,1801,1598,908
192,-12204,2268,-3543,-7544,5353
-260,-4700,1248,-7317,-5349,9007
-6532,-18788,-4920,-7816,2002,7844
-6860,-15408,-8816,2625,5092,-15352
-840,-15644,-3968,14923,-2042,-9157
1076,-12104,4652,-6304,-11785,8386
-4964,-2164,-44,-10047,-4008,11112
-7200,-17364,-4304,-7345,2229,-2660
-9108,-21648,-6580,-6857,-4245,-16263
-704,-18028,-6092,8964,3762,-16237
7020,-18144,6776,14169,14937,4366
10240,-7628,7200,9743,-772,-8579
12820,-9576,12100,6548,-618,-4148
12224,-7464,2364,-7635,-3330,8055
5480,-22700,8700,-18505,12532,13029
3828,-13572,2804,-15000,10095,4112
-5248,-29172,-8584,8534,-15224,8864
12416,-7708,8184,-8518,-1101,4170
10904,-7312,11828,-10668,5552,-3138
8432,-13036,1308,-8275,-14256,10733
2160,-29224,-4944,-10651,10140,7489
-172,-21624,-7516,-4019,-7077,8349
224,-10452,-2600,10672,4229,2197
-1964,-7576,-1256,5201,28495,-4870
4760,-12844,6816,-3547,-8618,870
2624,-16392,4632,2228,-2510,5130
-872,-12284,-380,-316,-10608,9020
-2244,-7928,-796,-8628,2489,2982
-6248,-16352,-15244,-8257,-845,-3519
3764,-9200,3180,-5424,-7022,1153
4284,-14404,284,3268,6998,4457
844,-8040,-364,-3071,-8753,15077
-8772,-6704,-5492,-7048,-11006,7111
-11452,-22672,-412,-7284,8706,-3411
464,-14784,-4052,18362,2186,-19481
4336,-12556,13352,15025,13405,-9267
7888,-17304,7880,4430,-7690,-5896
11440,-4952,20088,5113,2806,-5841
11084,-7660,5900,-7837,5508,5141
7520,-14156,15932,-19620,-1046,10021
696,-19212,4672,-21350,12297,7954
9672,-17252,8156,6492,559,-12166
10908,-3664,16812,2329,-6847,-1579
11656,-9180,6864,-10541,7997,5661
11232,-10092,12916,-13028,569,-1914
4952,-12624,-4544,-26983,-26217,7943
-1900,-25248,-1116,2089,-1345,9668
-3232,-21744,-10292,-1679,-2802,-5540
-156,-13904,-6464,-4089,10099,2480
796,-5516,-1584,181,18429,-5064
5420,-12064,344,-509,4868,1802
7060,-16164,5732,989,-3410,8514
1572,-12204,5896,4251,-19711,13837
1656,-12796,272,1572,-9973,1314
3016,-13824,7028,4138,7491,-2567
1628,-13132,1668,-1517,-9790,8411
-80,-1520,520,-8183,2902,8641
-6028,-30016,-1636,-3368,11474,-1920
-6564,-25972,-14604,2621,-1608,-8513
648,-20944,-14580,20279,-12010,-13237
8628,2128,9096,26297,375,-13479
13408,-11604,3588,5807,6876,-3535
9680,-4940,15328,-7437,-13226,2827
11868,-9808,12332,-12028,16626,2089
9496,-12952,6036,-22350,-19348,5327
-2980,-21172,-18764,-797,-7742,15679
12036,-6120,8512,-10073,-3195,2592
10400,-5988,11576,-12281,10277,5573
-1116,-22860,7424,-32768,-16441,11566
-3956,-28528,-5220,7243,5842,11967
-12808,-29492,-6524,8375,-3170,-14305
-1360,-11224,-884,1538,18476,-9930
-8,-6216,5284,223,3827,-7938
3888,-6592,-772,-3425,1114,2652
2656,-12644,4276,93,-1272,5560
2516,-11848,10532,2667,640,8922
