ax,ay,az,gx,gy,gz
6132,-17836.0,6344,-1889,-1100.0,-1431.0
4560,-13624.0,8456,1834,-2304.0,-170.0
4960,-14784.0,5732,-2439,1908.0,2518.0
4476,-15744.0,5432,-709,842.0,854.0
4768,-15344.0,5000,-1272,1081.0,753.0
4856,-15792.0,5916,-1056,436.0,310.0
7360,-14352.0,7580,1347,2.0,764.0
3276,-14704.0,6820,2628,-1620.0,507.0
3484,-14728.0,7840,2974,-5319.0,3234.0
3956,-15040.0,7952,5109,-5942.0,3551.0
5220,-14212.0,7804,4210,-370.0,1653.0
4544,-14152.0,7276,-5376,7567.0,-1498.0
4264,-15984.0,6632,-9074,7575.0,-19423.0
7912,-11816.0,5632,-6676,44.0,-7702.0
7724,-11660.0,5384,-1575,4244.0,2353.0
8140,-13940.0,7524,13336,-12759.0,18619.0
6848,-17276.0,7992,20842,-16838.0,14060.0
7360,-11252.0,8244,-8899,13386.0,-6139.0
8856,-14268.0,9236,5292,-4762.0,12502.0
5424,-15168.0,8412,13392,-11381.0,15875.0
6844,-15912.0,6268,14738,-8254.0,8792.0
7512,-13524.0,8740,-1855,1892.0,-1325.0
8760,-13860.0,6428,-11896,-2377.0,-24313.0
9132,-10684.0,6656,-11176,4186.0,-7002.0
10728,-9244.0,1936,2735,-3678.0,7411.0
9024,-13684.0,5520,13195,-3713.0,17101.0
5124,-12508.0,8676,3809,5786.0,5422.0
5536,-13376.0,9640,-8787,4946.0,-4159.0
3004,-17620.0,10400,-13572,10247.0,-16173.0
6952,-14556.0,4632,-13694,-6394.0,-13464.0
9044,-11920.0,3492,-5016,7398.0,-2994.0
6272,-13092.0,6288,3445,-984.0,9605.0
6272,-17152.0,2748,11261,-23075.0,19854.0
5012,-16192.0,12108,14302,-8872.0,12718.0
5648,-15656.0,7132,-15142,13314.0,-10939.0
3048,-16164.0,8312,-18469,17416.0,-20795.0
8316,-13820.0,1508,-12958,-11135.0,-11794.0
8616,-11892.0,-2384,-4467,7017.0,-1365.0
12752,-15040.0,2476,7694,-5640.0,9807.0
7696,-13816.0,6108,16946,5754.0,14794.0
4848,-15348.0,7756,14678,-11224.0,13431.0
4416,-13644.0,9068,910,-1319.0,1492.0
676,-14676.0,8012,-17678,19368.0,-12946.0
4724,-17104.0,7288,-6567,-6728.0,-14844.0
6488,-10820.0,5836,2844,1617.0,-4164.0
8448,-12424.0,5568,6403,-5761.0,7639.0
5396,-10436.0,11884,15092,-2987.0,12762.0
4232,-8112.0,10852,-3904,2300.0,2241.0
