ax,ay,az,gx,gy,gz
2492,-16980,1688,-1081,1352,-2978
9412,-13728,-3620,-411,-5732,920
9328,-13352,-1240,-1923,3109,-41
2556,-17496,4,-2002,7194,-2285
1484,-17800,2496,1501,-4423,2246
12588,-19716,-8936,1067,-15639,-6414
9452,-10076,-15316,-32768,13384,-23792
5740,-6064,18716,5772,6048,16424
3004,-16916,-22356,15823,-12498,2549
4752,-15452,4008,14864,3152,18147
-424,-22132,-6828,2427,7021,118
8028,-7928,-5548,-6433,-14315,640
4292,-14896,3592,-4129,13028,-9537
6760,-14024,-8984,2259,-13874,2475
12624,-15284,-7476,-9454,231,-7537
6580,-9532,-14888,-30579,25430,-7259
12624,-8720,14660,9070,-14036,8960
9020,-13252,-16736,14466,-3558,8166
10620,-14284,-7348,7260,-4477,6066
10376,-13968,-8692,-783,667,-2746
4140,-11308,-2016,-17534,25060,-13099
8532,-16152,-14892,10649,-2158,12901
7980,-13272,-13356,12530,609,4382
10284,-15116,-6216,3358,-4191,-129
9236,-17624,-18116,-21052,-9144,-7476
7944,-9528,-8092,-15412,25922,-13893
10268,-9440,3712,1994,-2676,6448
7060,-20140,-8928,16109,-10606,18163
6284,-18660,-2604,7087,17551,8381
11628,-16456,-4924,1245,-14923,2424
19376,-11812,-2920,-8976,-2994,5065
-2900,-15888,16620,14267,22871,12368
-9392,-28640,-5328,8439,-32768,8306
5680,-13564,6996,3069,-3854,-1212
3660,-19416,624,-20642,11975,-8518
3780,-14872,-3664,-9305,8991,-11501
9604,-11896,9380,-11339,939,-4512
9840,-12288,-21580,-25406,-4143,-1359
6780,-6432,180,-26523,28774,-10080
12108,-7252,3880,5341,-20202,9650
9880,-13948,-12828,17563,-12887,13749
7148,-10552,-10472,19321,11648,9758
7604,-16948,-3308,5829,-9766,7809
7496,-18416,-9984,-22137,309,-14728
4720,-11476,-11008,-29165,10320,-9745
8748,-5612,4368,-14256,19401,-729
720,-19392,-8744,16855,10464,16895
-6416,-18924,3688,13947,-24953,9425
1976,-19232,-10368,9891,-17138,-8342
4908,-15260,6640,-2212,-14267,-1920
3308,-23172,-3900,-23452,15760,-13068
2148,-16144,-15716,-32768,16433,-2372
4864,-11076,-236,-30693,19035,-2637
12276,-6984,-1924,18452,-32204,12804
8572,-10272,-9404,19406,-2684,5950
9520,-12892,-7232,15787,2452,12967
7912,-19032,-9540,-1019,-5309,-781
5476,-11932,-7080,-9251,3086,-5984
3268,-16396,-728,1101,1394,5310
5328,-15624,-3208,6533,399,1690
7444,-13340,-10240,-5689,8740,-541
11576,-14460,-9780,-15753,-18728,-11248
5772,-11064,-12352,-25166,17999,-12088
6788,-2252,16316,-924,25189,3733
-1292,-24472,-28552,26184,-32768,14184
6996,-16252,-4964,12055,29134,10467
4964,-17384,-9920,5357,-9522,7710
6068,-18228,-8404,-1665,-20369,-11565
3020,-15772,-17556,-32768,9371,-8014
4220,-12168,-1936,-25301,20417,-9360
10524,-9516,8264,16501,-25943,11040
6284,-12864,-15788,17269,6050,11559
7224,-17244,-4180,10654,522,11199
9056,-16356,-10156,5067,-4801,542
5320,-16524,-5628,-7310,4446,-4095
2932,-14172,-2068,-162,2793,2714
2224,-20188,2036,-1357,4173,524
6308,-9084,-4428,675,-157,-844
9112,-15060,-7604,6929,-4493,3079
7028,-21096,-14984,-19247,-22868,-8612
9360,1816,18440,6886,-10669,16564
4780,-15340,-21092,25633,-193,7061
4572,-20040,5848,10500,3479,13663
5948,-16544,-11976,-2885,-1950,-2998
6484,-11776,-7184,-5789,-1121,-7507
7992,-8940,-7300,-2137,-1429,2898
5224,-15772,-4172,-3124,5323,-3508
3192,-16516,508,-7102,4404,2515
9400,-13696,-8552,7135,-6733,778
11984,-16060,-14468,-2293,-12805,-9175
6440,-13172,-14584,-30448,16430,-15070
7488,-7088,12108,-16657,27241,-3579
2204,-21476,-13584,22973,-32085,9908
7852,-12668,-5512,4414,12897,16002
10528,-12240,-11668,5192,3544,2344
10628,-15280,3676,19852,-18616,-1125
8132,-15968,-17004,-10647,-19210,-13170
9212,-9888,-11536,-32768,6190,-5881
8608,-9580,6708,-32768,26040,508
11372,-8408,-3684,3049,-10044,15319
9744,-18756,-2856,17183,-10964,26127
9408,-21460,-10664,27089,-10088,7989
5192,-17120,-2132,7383,-12376,-4062
7532,-15020,-4932,-17122,1808,-598
4740,-17032,-3860,-16857,8326,922
1388,-17680,376,860,2223,553
5016,-17936,-3480,11823,-8071,2322
9412,-14200,-8080,-8910,5938,-1997
6140,-9016,-2228,20212,-11136,21605
-492,-17592,-11288,4832,-14373,156
-720,-23668,-3624,-26056,16843,-12189
-5460,-16504,13304,5376,18172,-11631
6312,-14024,-9148,2499,-11505,-1242
6848,-14188,-12664,-2165,-2256,-17852
6776,-2304,-16140,-28038,31358,3589
15544,-10360,11804,-12625,8064,3911
15948,-4216,-2080,13118,-16554,-9054
12520,-15352,-4744,-631,-12562,-9111
13992,-11132,-8228,6890,-17786,4092
7988,-9628,-4948,3106,10423,13228
6172,-6576,-3520,4672,20509,20357
14404,-14684,-27072,-18562,-30004,-19761
5292,-4112,-8548,-21405,8618,-29965
9780,2952,-2212,-9299,-7873,-5214
8236,2988,-3556,11300,6301,5151
8856,-7032,-2004,23399,-15710,27471
2232,-23336,-9500,28417,7596,18077
-1336,-24168,1920,12029,-20988,2070
7292,-16992,2604,3323,2371,-8026
9488,-14428,-14420,-32768,-32768,-19485
2440,-13088,-5376,-32768,32767,-12529
8936,-7488,1984,-16568,280,9434
12300,-8852,6120,11297,-16507,21572
5932,-20908,-14832,19727,-18428,14061
9584,-12124,820,7289,4546,6389
5196,-13176,-10956,-4547,-11219,-8960
4940,-10288,-12048,3448,-4493,-3596
3288,-13636,-3564,10830,10594,6226
-980,-26044,6408,-11825,13344,-5735
3160,-16880,1660,-12603,-506,-8467
4800,-6000,-1792,9793,-2854,4109
8332,-24344,5312,28639,-10496,10434
8924,-16552,-8964,-14184,-16926,-15977
8608,-10184,-14804,-32768,-1110,-13381
6524,-3176,-5680,-32768,4819,3431
13476,1600,4188,5088,-15975,23535
6356,-17716,-3416,17466,-2119,19132
4656,-23924,1200,21817,-8490,10673
7356,-17712,-5380,-12896,-18488,-13039
6836,-8596,-12080,-11651,-507,-9091
1432,-17460,1824,19565,16253,18753
-1364,-23796,4388,-3597,99,-196
9508,-13148,-5132,-14620,-8787,-10925
6760,-11048,-2940,4150,7818,6967
7068,-18836,-1752,4204,-9573,-5189
7572,-18672,-7060,2883,-17713,-17029
10912,-14568,-9552,-32768,7836,-7380
8416,-12056,3788,-29224,20238,-9959
10932,-9096,2748,21448,-18829,6946
10196,-10924,-5588,12836,-7149,12523
10804,-18420,-23352,6836,-4365,2065
8944,-7532,-12948,-16751,1896,-15202
11812,-6988,-6612,-22564,3666,-4767
16344,-6300,12740,2672,-12058,11127
5528,-10416,-19324,21301,18194,4979
11492,-20444,-156,5809,-19403,16969
9236,-14972,-160,-1359,6792,-1061
7760,-12752,-6656,-5058,948,-1473
6916,-13404,-3480,-898,742,-1773
-1424,-16196,-1340,-1006,14921,2469
-472,-19624,-4264,-5487,-3289,-4583
9600,-8732,-6356,5933,-16661,1492
9496,-16284,-8364,-3365,9048,-3235
3500,-8408,-6544,-2160,5903,565
-76,-12416,4896,23330,-11066,16917
-1080,-23472,-6564,-119,-7987,5628
3128,-31356,8008,-30559,3901,-23632
2136,-21004,-3492,-32768,29030,-28157
7788,4428,-1144,-9037,-8382,-9044
11252,9500,-13684,-6347,-2287,9773
11560,3504,-8124,-1058,5293,30303
22496,-9672,-16100,2483,8496,-9594
14536,-2596,1740,32767,-20384,-18711
9516,-1924,-11416,8595,17449,-15852
12976,-2720,-224,13106,-7105,4814
13820,-11852,-7360,19241,-17168,1908
10216,-13300,-19260,22066,-3548,-17722
9620,-8104,-11576,-8558,-7524,1369
9908,-5176,-16428,-23207,5798,9734
5428,-4664,-11920,-32768,16079,24638
7048,-6500,-1544,-15346,19248,24051
8512,-16196,-9980,11141,-32768,11126
3572,-15384,-4316,6357,27927,7615
7656,-19888,-11000,15783,-32768,10507
5884,-14016,-2768,1597,-11424,-3103
6664,-13892,-5948,-3681,-2513,-2560
684,-17448,2376,-1638,12093,-3197
1032,-19584,1396,6376,-3142,5935
7288,-16828,-3348,-152,-4425,-357
10276,-15716,-5488,-7223,-3393,-5475
7956,-11028,-6076,-5156,368,-2671
-2988,-17928,8092,13096,8512,9558
928,-23264,5468,15153,-13421,-367
7048,-22432,-1196,-26692,-17537,-21601
6832,-10412,-16364,-32768,16731,-14201
11996,-8396,6332,-28435,1740,-9411
8924,-3780,-4496,32767,-16556,17146
676,-12164,-4036,27468,-1053,29334
7496,-22476,-6648,-1898,18966,-1094
7180,-11224,-12016,-4405,-8213,-5411
6424,-13556,4500,11979,-2577,11458
248,-22228,5144,-9295,10221,-1080
3664,-12880,-1068,4148,-1521,-24
12076,-21128,-15744,-1974,-25855,-14076
5132,-10172,-15016,-32768,1986,-16130
5848,-12476,26560,-32768,32767,-14089
1688,-16712,-1540,30107,-32768,21781
6896,-20084,-6808,15168,-2265,15526
6772,-14752,-7460,8113,3344,10252
7040,-17260,-8408,1861,-2559,-1131
6648,-12108,-6052,-8551,4197,-3464
2664,-17024,2176,5132,10085,5208
2012,-18552,15000,8170,-24135,-278
2156,-12216,-32768,-19996,-16881,-4002
5028,-8120,-16668,-32768,12919,-2317
5892,-12784,17676,-28467,32767,-3694
8020,-10096,-6092,9596,-29404,20113
7644,-15724,-5832,13100,-9070,17180
10280,-15116,-9704,18745,-6816,9748
8472,-16888,-7004,5560,-3340,-80
7448,-12820,-8068,-13576,-811,-5717
3308,-11780,-4140,-4078,5799,-148
92,-18912,1908,4479,-4150,8510
4892,-20380,-5676,-3476,8814,1910
