ax,ay,az,gx,gy,gz
6840,-12488,-2840,-4782,9797.0,1161.0
568,-3576,5188,15833,-23044.0,2055.0
13824,-23608,12608,16543,-5076.0,9253.0
-3108,-8276,-3336,-9998,30036.0,3499.0
3544,-32768,8128,-22796,-1611.0,-25640.0
-4,-11624,5660,7489,4850.0,619.0
1748,-2540,896,21259,-27231.0,5098.0
-1544,-11408,632,-25084,30825.0,-7008.0
24312,-18720,4844,-13891,-14497.0,-13933.0
628,-11912,5176,16590,10014.0,7039.0
216,-17304,6404,18463,-29313.0,5488.0
10996,-19044,1032,-1436,11696.0,5116.0
4948,-14192,2888,24527,-31043.0,5831.0
5352,-18640,6296,-7527,29375.0,-386.0
3116,-8156,-4652,-22039,5050.0,-5129.0
1340,-6768,4448,14256,1490.0,6637.0
4432,-17664,-3340,23092,-30394.0,8332.0
4200,-13384,3080,-10013,15606.0,-4177.0
668,-10780,8084,17792,-14288.0,14081.0
9976,-18812,1664,25230,-29866.0,919.0
4828,-12064,-3928,-9892,22133.0,4706.0
280,-12504,868,-23890,15865.0,-10018.0
2696,-26952,7056,1709,3930.0,4.0
-320,-8932,5728,18368,-11981.0,6178.0
13768,-29184,7524,19721,-20256.0,12249.0
-1760,-20124,840,-22621,25662.0,-9757.0
7272,-15716,5424,7976,-16021.0,6812.0
-2040,-11016,8648,21449,-14575.0,6456.0
16464,-18300,-2048,51,5877.0,10441.0
-1760,-12796,6332,-22321,22495.0,-11516.0
4744,-32228,2120,-9023,-6892.0,-10436.0
1148,-5996,9104,14467,4119.0,8866.0
11548,-21380,-3480,26788,-32768.0,4097.0
5700,-10632,4308,-16989,19282.0,-2157.0
3312,-6292,-6024,-24081,8059.0,913.0
1448,-25488,9764,6528,2551.0,5073.0
-1624,-6168,2584,22390,-18723.0,7017.0
19200,-24472,1104,11342,-23111.0,5410.0
-780,-8004,5088,-19514,19233.0,-1666.0
-384,-8180,11132,14401,-6259.0,2450.0
3548,-8896,3052,19010,-14524.0,2609.0
4456,-19540,-2340,-1991,14777.0,7546.0
1780,-5276,1028,-19877,11626.0,-7981.0
8852,-29620,14244,-2003,4563.0,-150.0
-176,-7656,5692,14006,-8270.0,4433.0
12272,-32648,11388,13381,-23485.0,6048.0
4788,-12800,1228,-10878,23659.0,-974.0
-2172,-7004,1896,-15029,19145.0,-10201.0
4788,-23776,1984,3196,-10505.0,6290.0
-1596,-5308,7844,15394,-11678.0,3413.0
18020,-30020,4400,6142,-15795.0,2602.0
-216,-4668,4432,-14137,20045.0,-5721.0
1212,-13624,6988,8036,-16644.0,4202.0
1980,-8116,1476,10839,-5538.0,1229.0
9052,-21688,-6096,3484,4031.0,4583.0
2096,-5992,336,-14982,5907.0,-3127.0
10572,-29104,12784,-9734,13423.0,-5165.0
7432,-18280,4692,14300,-12768.0,5351.0
3956,-5480,-1300,-17249,4324.0,-4621.0
-1572,-28372,14636,-3418,21615.0,-1258.0
696,-8076,1980,2231,-16182.0,3686.0
1528,-9828,5976,14524,-17112.0,2853.0
5396,-15780,-8888,-9777,9846.0,5850.0
11032,-21140,12436,-4626,21774.0,-5852.0
-1772,-8872,4292,14684,-16593.0,1896.0
