ax,ay,az,gx,gy,gz
3636,15420,-812,73,1061,-162
1564,19468,6336,10161,14654,-1629
1648,17520,556,10766,9453,6118
3552,12728,-588,4532,3769,5206
5296,13768,-848,-2079,-5668,-1109
4952,14936,-988,-6841,-2317,-7961
3364,19640,808,-11709,-14429,-4998
2760,15872,1860,-6994,-10724,3327
3252,18008,2940,5592,-901,-2612
920,21836,624,7872,17583,-745
752,13912,4532,3865,11561,8582
824,15708,3044,-1527,-9484,6169
3600,17312,-308,-9302,-13915,-594
9784,13660,3564,-3785,3287,-2622
3636,12296,-2204,-9287,-5082,-2001
5632,15428,1300,-998,-2576,-871
5680,18436,3976,5404,5128,-1286
7696,20292,8140,15017,13525,5545
5204,10924,-2148,10026,7615,7200
5892,10644,-3128,-1020,251,1395
8976,21108,1708,-12086,-5857,-5911
5832,16512,3268,-8583,-12770,-7463
4832,14572,-728,-14251,-902,3272
3140,13380,-212,-2527,1529,-1612
3328,21244,6800,8976,10267,-865
2052,16192,308,10490,3682,5134
3172,13016,168,9883,4964,6608
5664,16028,-1876,-4633,-3848,-898
6640,14068,6024,-8245,4047,-1651
3744,13600,80,-12108,-13599,-724
4892,14432,1540,-6497,-8104,2253
5964,17064,1468,-3924,-8316,-1868
2888,13608,11908,1772,-1679,-2226
996,14260,9924,-3330,-14694,-3450
156,18704,5400,-10908,-25557,495
1044,19380,-5632,-20874,-32768,1288
3624,15328,-2852,-11922,-32016,-1945
8316,15072,-2568,-8125,-3310,-5888
7728,17992,4736,-920,5538,-6495
3376,14740,-592,-3094,-7195,-850
6216,16072,-132,-394,-112,-703
4776,15812,-1784,1366,7295,-1557
1052,20376,14044,9793,23670,2186
2620,16268,2992,9075,-2432,5165
3024,12064,-1496,1671,-2523,4306
4960,17368,-1716,-6229,-2983,-2982
5784,15732,4828,-8233,2369,-7734
3304,17320,1828,-10497,-22884,837
3896,15096,-244,-4280,-4029,454
5516,17364,3716,2720,9706,-3603
284,17008,1776,8436,24660,-3261
3292,15324,956,12153,6187,3122
3916,11296,-788,5048,2032,5368
2800,17436,-5500,-9589,4658,-776
4808,17248,3596,-7838,-4234,-236
2088,12728,-3548,-15244,-12490,2925
3688,13388,-932,-8219,-3254,3690
2764,19356,864,5616,-4713,-2355
-224,20244,1396,10586,21531,434
2500,14188,2528,7618,13745,4772
2312,13160,-48,1937,-3481,3690
1612,18532,-3984,-11819,-940,693
6724,15080,7740,-10676,-1684,-1693
1172,12520,-1748,-13841,-9082,1553
5612,12976,940,-2084,2042,-2904
2872,21872,5264,7117,-9093,-1721
1984,17992,4284,13488,11356,2700
5004,13920,2968,6002,11500,6901
3976,12240,-892,-1314,-6489,3549
5728,22876,-1124,-11327,1394,-1848
2380,15340,6544,-5124,-15202,-3591
2592,12488,-856,-9232,-7130,2043
4220,17204,864,1285,5535,-3498
