timestamp,ax,ay,az,gx,gy,gz
0,2236,14612,4468,-2457,8981,258
10,-888,21280,2532,9844,10022,1345
20,1160,15784,3144,5698,1919,5799
30,1812,12156,2208,3468,-255,5768
40,3908,18668,2296,-3548,-2364,-1922
50,3568,14740,3356,-4400,-4138,-2736
60,1236,15276,776,-6367,-18558,-1922
70,1820,16424,1596,-4704,-14998,2587
80,5004,15876,480,-7158,-16338,-451
90,6988,17760,7624,2004,-3240,-2008
100,2748,11436,-972,-2678,6138,-933
110,1068,18688,640,1637,14902,-2685
120,6164,19756,6416,2285,18184,-1819
130,3924,15480,1824,3382,-5045,3925
140,5020,13288,3412,3111,1946,660
150,5104,17740,2480,-2469,-5150,-4032
160,356,17020,1408,-5919,2981,-1968
170,2948,14220,3736,-6008,-2513,-2295
180,1232,14992,1680,-3312,-3103,922
190,488,19960,3020,2766,9923,1019
200,2480,14028,15092,8908,7540,6673
210,1136,11156,-2260,-1801,8052,3860
220,2756,13768,-1836,-2997,-3469,-1104
230,2836,21472,5428,-1345,-8206,-7067
240,1952,19920,8984,-905,4738,-103
250,1888,11836,3504,-4641,-287,3454
260,180,17636,5068,3301,2991,3919
270,8564,17596,5776,8730,11546,3097
280,5240,15428,296,7254,11702,6367
290,3028,15280,-5824,1446,19209,4908
300,-4340,19892,9248,6070,24328,5364
310,2560,17120,9852,4098,25293,2403
320,-2640,17780,5368,5500,22134,6191
330,0,16752,4024,4191,14851,5147
340,-120,19072,17824,4463,20108,1864
350,4364,13208,2616,-578,-2096,-2858
360,1548,13008,-924,-2305,406,-1798
370,3824,17040,6980,-52,8595,-3324
380,-2460,17900,4484,2026,18525,2985
390,2352,10176,-1212,221,4789,5958
400,2684,19952,3284,-2846,-1002,1803
410,2816,17020,4356,-4583,-4898,-5007
420,2468,12680,-596,-7430,-16271,-4334
430,2876,16328,612,-1754,-205,-1636
440,2672,23956,7988,1604,-1552,-4023
450,-144,20156,10912,10179,10817,5446
460,1764,9140,360,2040,11997,7563
470,2256,20260,3760,461,158,5229
480,4232,14204,9588,-779,12645,4673
490,576,12436,-2972,-7015,-2201,-1145
500,2376,14708,2984,-2004,-14305,-1717
510,744,19140,1884,-2524,-19,-1163
520,3896,13960,5524,2114,-5603,2548
530,1764,14596,2528,-1514,4727,5388
540,4452,20216,7968,-1969,-4337,-1800
550,2984,11068,9952,-1503,-12892,-80
560,3380,11756,-328,-6060,1864,-3711
570,4264,15392,2216,-4560,-3229,-1013
580,628,17880,2772,2919,2371,-1007
590,2992,13844,1000,4791,1842,3524
600,772,13380,712,265,8541,7205
610,3216,19444,3168,-2717,-3804,-992
620,1800,12084,8684,1608,11902,6783
630,1856,11188,-496,-5354,7430,1222
640,2976,13320,-1084,1374,8099,2209
650,1256,24008,10324,2221,1297,-2641
660,-304,13900,-2708,-2977,10553,165
670,-1132,17176,2204,522,7933,958
680,2644,20600,7596,2534,18209,6747
690,496,17164,5044,4658,13673,5862
700,-1596,14608,-3504,4469,17191,8690
710,5588,23424,7040,4208,12475,-1148
720,3432,19148,10716,9020,16419,3973
730,2772,10088,5132,5556,15177,6922
740,4988,14960,3844,1078,-1847,-23
750,5016,18656,6384,-5927,-15123,-13975
760,3396,14352,3704,-2210,-7015,-6343
770,4388,14248,1220,-7507,-3599,-3416
780,4524,22068,4740,-186,-2191,-3170
790,3668,19652,6480,2253,15034,3627
800,2288,9460,2532,2137,10897,6635
810,344,14928,4632,3732,-1607,1039
820,5604,21928,2268,-1851,-20786,-9958
830,1776,14148,6044,-5688,-19832,-2374
840,1952,17244,1824,-3463,-12124,-2732
850,4852,16856,-4284,-5155,-8004,2122
860,4488,18360,6688,-1982,25140,337
870,1192,10684,-772,-1057,12773,2192
880,1424,16064,8544,5803,2477,2544
890,9128,17896,6284,3414,5979,-1556
900,4476,11812,672,-2921,-2725,-246
910,5256,15208,2308,-2538,-3793,-2525
920,5232,20564,4164,424,1253,-3763
930,1168,18376,2136,-422,4307,2454
940,3480,12648,3296,2647,5457,3024
950,1504,15116,1712,176,4583,3694
960,7060,26956,2072,-1622,-20157,-5679
970,4136,16828,8288,400,-9862,-5817
980,2120,12204,4452,-1531,2766,-2466
990,3200,17292,2644,-1188,-16983,-3923
1000,1224,20336,9304,-2147,-21537,-3661
1010,192,12860,1820,-5877,-20033,2320
1020,-1332,14228,2520,-5712,-17081,4698
1030,3656,16128,-6204,-14623,-19030,5515
1040,3344,15764,-4160,-12136,-23729,1458
1050,6584,16624,-1284,-7355,-16039,-2316
1060,2648,13704,5872,-2581,15333,-1162
1070,3908,12884,180,3333,-3244,-3649
1080,1560,19920,-1832,-622,3936,1045
1090,6252,16796,1316,175,-6440,158
1100,3772,14316,1612,-558,-4654,-1324
1110,3424,13020,1484,-1772,291,-987
1120,3352,16952,2312,-1497,3571,-706
1130,1028,15816,-156,-1092,7568,-2124
1140,2160,14852,176,1060,3552,2630
1150,780,13744,436,-121,5848,4450
1160,3504,18976,4116,-2175,-727,929
1170,5296,14912,5120,-2023,2000,-711
1180,984,11840,-752,-5654,3105,676
1190,2524,14392,480,-3723,-2720,1925
1200,2668,24364,1068,3278,-5871,-3823
1210,2116,17484,5116,5896,900,1216
1220,1372,11184,1468,1071,7429,4303
1230,3040,19056,776,-1919,-3617,-885
1240,5960,17300,4672,-3239,2551,-1845
1250,1056,12388,708,-6705,-4550,1783
1260,2884,15540,-1424,-2197,-6514,-2303
1270,2772,23728,5956,2308,-15226,-2821
1280,2824,18416,4956,6841,939,2565
1290,3284,12360,1736,-652,12578,4878
1300,3644,19880,3312,-3012,-4863,4500
1310,7116,15640,2476,-2693,-8104,-4822
1320,4664,13584,324,-5189,-6194,-2493
1330,4016,16040,3484,-49,-10276,-4920
1340,3484,19684,2224,-2963,2094,-2498
1350,468,17908,3748,2364,11125,507
1360,2768,12672,3180,2218,6928,4961
1370,1240,15736,2128,1182,1273,4561
1380,5028,18864,3952,-2645,-6435,509
1390,4604,16480,4656,-5549,-9598,-3142
1400,4368,12636,7796,-6775,-11210,-1776
1410,1680,15020,7852,-3743,-19754,-286
1420,604,18720,5044,-8965,-25275,-417
1430,-276,15736,-104,-11252,-25304,-4411
1440,1520,15876,-3500,-8966,-21882,-1516
1450,5536,15736,2984,-6840,-8981,-1757
1460,6940,12636,-608,-4489,-8959,-1987
1470,7400,13776,-4504,843,-3368,-5715
1480,1164,18088,2516,847,1480,-1204
1490,3372,14484,-1032,-2932,5102,-30
1500,1940,17100,1128,-388,-1881,-1795
1510,2480,20356,6840,-2839,-5917,2441
1520,3368,13860,5432,1274,-6783,903
1530,3140,12076,-2936,-4775,5924,-128
1540,3656,13636,-1280,-2961,5723,-1805
1550,2032,22852,5380,3035,2738,-3385
1560,-1868,16444,7040,2856,7712,7385
1570,1372,12104,968,1661,9963,4373
1580,1868,16696,2120,-1527,-1797,1646
1590,3952,19788,3984,-1538,-8971,-2940
1600,3600,15916,2808,-1730,-18096,-4278
1610,3128,16660,1520,-2046,2063,-2759
1620,2720,15216,3540,1192,5109,1392
1630,728,17656,3056,-1986,4961,-880
1640,1832,15328,1148,1147,1824,501
1650,-768,15056,2240,-1497,480,2309
1660,300,15768,3912,103,-9184,1534
1670,5732,19616,1632,-2125,-20101,-3277
1680,3468,14484,-612,-6217,-8761,-328
1690,2528,15912,1356,-2440,-3474,-1508
1700,4544,14264,776,-3029,-7986,-1027
1710,4840,17496,9504,-1850,21006,-1882
1720,1760,14440,-1744,1220,12162,2911
1730,1604,14000,3620,3456,2868,3427
1740,3812,21040,7412,174,-392,1265
