timestamp,ax,ay,az,gx,gy,gz
0,3284,-13752,-956,-4113,-10482,-1550
10,4560,-16076,-1040,-4334,-2890,-1304
20,5904,-13068,-3692,-7035,208,-9323
30,5528,-11224,-6968,-11193,9722,-21224
40,15900,-5448,-13036,-8192,7497,-15561
50,16716,-2952,-8968,503,6704,-7524
60,16212,-3460,-6272,3820,-1688,2447
70,22760,-2476,-6928,2403,-6757,10309
80,10952,-10012,-5764,8683,-3654,16651
90,1544,-12612,-7640,15252,1172,18526
100,2800,-21716,-44,7321,-6424,3336
110,2556,-14860,-356,25,7835,-3650
120,3984,-11212,-4924,16082,-6183,21377
130,5336,-15124,-4796,10856,2713,2448
140,2912,-11512,-3088,3179,7377,-199
150,2832,-13940,3856,-893,7083,-1197
160,3848,-14620,5004,198,7569,-91
170,2804,-13868,6748,-1621,-6169,2346
180,-1048,-7740,1336,-4499,-15164,5249
190,636,-17488,-1168,34,-10204,9649
200,-3088,-18456,-3000,417,10461,-8700
210,1028,-18916,-5188,1214,857,-3345
220,7416,-18488,-1476,5275,-1573,-1286
230,3780,-15312,6136,10013,-37,658
240,1380,-15276,5872,-173,-8022,3549
250,-1116,-10500,248,-4347,-11970,2785
260,-448,-13616,312,-4133,-9250,7402
270,792,-15480,708,-5316,7687,664
280,-1108,-15976,-3592,1731,2289,-3240
290,4692,-13448,-10520,5890,2420,-6361
300,2684,-19148,2016,10388,2568,-437
310,1860,-10172,6660,10480,-1514,-2608
320,3764,-14284,12828,2293,-922,909
330,3680,-11592,12140,-2800,-600,-8
340,3460,-14124,12288,-11047,1099,-1034
350,5048,-17944,3864,-14578,2661,-3618
360,844,-20492,-7300,4697,3370,-5856
370,4668,-20688,4868,11320,3450,3207
380,1952,-11936,6264,9253,-790,2218
390,3956,-13692,12564,2408,-1035,447
400,2712,-13692,13660,-2937,2764,-1050
410,2956,-14836,10740,-10450,355,-2198
420,2560,-15724,1396,-14007,-7576,-2506
430,6096,-17816,208,-10825,-884,-5209
440,5628,-20168,-10820,-316,-2181,5777
450,4240,-18624,-5212,9595,-3580,3751
460,1968,-14384,-4508,-102,13195,-3129
470,1132,-11104,1452,341,6143,-1560
480,2516,-14660,11316,-5567,-33,-78
490,3084,-14532,10040,-13474,2175,-5229
500,4612,-18392,4436,-15856,521,-8269
