timestamp,ax,ay,az,gx,gy,gz
0,8528,-14376,1208,-11928,352,-7033
10,-472,-8928,6648,386,24761,-5254
20,1332,-25852,10976,20701,-31212,23411
30,3972,-21776,3216,27271,-30265,10693
40,3636,-16232,7924,-29733,28551,-14737
50,4468,-21068,5672,-25316,10163,-19572
60,1980,320,13844,-5755,19370,-9179
70,3024,-23176,11416,18855,-23559,28289
80,6328,-15356,2148,14769,-16885,2503
90,4792,-14448,8696,-11668,9431,1223
100,644,-9916,19456,2305,-11189,10812
110,7696,-16352,6844,4343,-14248,-6326
120,892,-9740,20816,-1491,4598,-906
130,7412,-15644,8064,3268,-9946,5546
140,4280,-16960,10444,-23427,13685,-15828
150,1268,-24804,-3120,-24977,32767,-15694
160,6436,-8704,9052,5232,-23033,11237
170,9116,-17816,-3032,10743,12686,7049
180,2884,-14920,12868,17253,-16774,21610
190,8836,-18508,96,-2151,6816,-2108
200,7880,-16804,9336,-25979,352,-29217
210,5396,-8508,16476,-11951,11975,-8427
220,7708,-14400,-712,6398,-7937,15889
230,4624,-17544,5280,3285,1303,7556
240,4328,-18660,2612,4356,-9919,4029
250,4940,-17660,-960,-11699,13284,-11715
260,5776,-13172,-5068,-4225,4549,-9951
270,15936,-9392,11752,-18825,14843,-3584
280,5732,-17892,-1196,4789,-1593,6705
290,3904,-11904,8344,16863,1489,10352
300,3112,-14116,11360,19051,-28259,10371
310,4068,-11340,15540,17540,-15806,15827
320,5144,-11348,16732,-19935,10918,-1032
330,4884,-24804,4924,-31479,7719,-21080
340,4864,-11368,268,-21769,13239,-15428
350,8120,-13612,13204,-2883,6853,5161
360,6828,-16208,-960,11829,-18817,7192
370,5148,-19320,6296,13323,-6767,14637
380,10124,-17576,4132,6248,-6393,8416
390,2976,-7492,-780,-2310,24968,-11600
400,6064,-9668,23164,-5355,-7545,-5878
410,5336,-17296,9812,3280,-7637,14170
420,4808,-16112,3972,8062,-8105,8994
430,6008,-13324,9764,490,-811,2956
440,6580,-18108,3312,12389,-6824,2706
450,8260,-13180,-1568,-15451,11333,-10592
460,9240,-15272,12376,-19249,14983,-17999
470,6364,-14448,14756,3328,-4070,6072
480,9828,-19260,-9476,20762,-21496,1984
490,5004,-16768,5444,-23690,29722,-15879
500,8152,-10604,14328,-21814,-6652,-4752
510,8740,-12732,1700,5060,-5392,3315
520,9772,-12540,848,17712,-13084,8443
530,7868,-15080,6372,17565,-9601,12390
540,7480,-14724,4084,15442,-7961,10407
550,4140,-14260,12172,9206,1491,5851
560,880,-14584,12368,-16830,3835,-6977
570,4416,-14344,4964,6938,-1696,1224
580,428,-13032,20072,-6,11463,-2845
590,5804,-15884,5008,-21428,-13242,-11366
600,1408,-18756,-14540,-26376,27061,-6124
610,9260,-7528,20116,879,-8454,-6296
620,6796,-12692,4740,14424,10062,8577
630,5100,-12920,15684,14169,-7277,29523
640,3300,-18836,12,21512,-28039,16913
650,4008,-12140,11772,-8477,13406,-6761
660,6276,-15652,8480,-17178,-168,-16409
670,5852,-11360,11292,-8007,8415,-6787
680,5404,-11576,8388,-2919,-798,9335
690,5276,-29408,1668,-143,-26853,6234
700,3748,-14288,6812,-8876,22152,-24033
710,6992,-9972,8880,1539,-16425,11015
720,8124,-18180,1580,3845,15113,13404
730,4844,-13408,10688,5824,-1490,5152
740,1940,-13140,-580,10875,6399,-1816
750,4080,-13112,23896,-2129,6593,1242
760,5116,-16480,5392,-15412,-13016,-16648
770,9572,-11420,72,-14860,-2903,-16927
780,16088,-13508,11940,-12519,20128,-3987
790,8072,-16508,2036,9410,-10337,17738
800,8168,-14992,812,18351,12719,5971
810,1332,-14156,13200,14326,-19155,24563
820,4060,-11048,-1168,17795,2045,11382
830,4088,-17164,15116,-18592,7800,-4776
840,2660,-14844,9644,-13027,7692,-22110
850,7668,-13312,6848,-10060,-9244,-7210
860,5052,-17688,-3832,-21415,29963,-17968
870,8584,-7616,6828,-3291,-18789,6543
880,9176,-11256,5016,7996,-842,14889
890,9644,-15568,-2228,15903,-21567,12608
900,7704,-16604,712,-7408,15165,-10727
910,2392,-13628,-1768,-11996,24031,-4613
920,4384,-16328,14192,4191,-8125,12920
930,5072,-15736,6380,14198,-6072,9159
940,3512,-13840,8328,9847,-17578,6049
950,4660,-12872,7920,3128,-6997,7917
960,8360,-14452,12112,4461,-3350,2535
970,5988,-14100,1908,-11181,2368,-5650
980,5740,-17660,6928,-16866,7757,-14773
990,6580,-13012,636,-11636,6134,-11494
1000,8664,-17792,14340,-19982,27533,-12575
1010,6404,-16240,4576,7393,-15568,12827
1020,6400,-16068,6844,14846,-6670,12307
1030,1392,-15204,12780,2949,-13069,7053
1040,8496,-17060,-7092,-302,-9753,958
1050,11060,-12584,-1328,-9924,1006,-12737
1060,11296,-10400,16712,-7479,21383,-9441
1070,4712,-15568,2072,7614,-12426,18091
1080,5296,-15376,8472,5978,-557,11515
1090,2780,-15668,2816,14908,-23092,7296
1100,80,-12636,14116,-3209,17681,-3839
1110,7924,-19524,2816,-20331,-4207,-12046
1120,1036,-17808,5424,-17628,18338,-23766
1130,6320,-11704,14288,-15374,12212,-23230
1140,15916,-11584,1788,6386,-21775,11864
1150,10612,-15052,5980,14296,7002,3423
1160,7408,-14816,11984,18521,-3360,15098
