timestamp,ax,ay,az,gx,gy,gz
0,10700,-12640.0,228,-5181,3925,21
10,4324,-5560.0,5448,6563,2533,13041
20,3216,-11572.0,3500,1057,-4809,-4253
30,10428,-16020.0,6420,-11621,-1848,-11278
40,3408,-13624.0,3564,-10402,14889,-8680
50,5780,-13416.0,6052,945,-10424,10945
60,6272,-17104.0,7612,10259,4171,7679
70,8092,-16708.0,6472,8569,-10194,4243
80,7816,-12436.0,2992,-15322,2320,-13040
90,7664,-13924.0,5356,-10916,4537,-1482
100,3740,-14868.0,2432,9359,-4810,7413
110,8808,-17284.0,11004,17143,-12099,9545
120,8468,-13392.0,3116,-2471,9735,-8265
130,9372,-14416.0,9144,-18418,-4263,-11363
140,8836,-11180.0,6192,-5844,6646,826
150,6156,-14492.0,2944,9144,-6351,9958
160,6076,-15448.0,11220,15501,113,10432
170,8700,-14184.0,4748,1947,-5225,1135
180,10168,-15764.0,7696,-22711,3972,-12041
190,4588,-15076.0,4356,-9452,13431,-6293
200,5664,-12996.0,4040,12634,-8333,14425
210,5968,-15472.0,11644,14134,-8872,13371
220,8328,-10488.0,1372,-19954,-204,-10365
230,6728,-17220.0,4112,-2483,10225,-3177
240,1268,-11176.0,5096,11573,3708,10071
250,4760,-19140.0,10256,15028,-22374,13461
260,7176,-14600.0,2872,-6324,8188,-10640
270,6472,-15788.0,6824,-8050,11402,791
280,1296,-11856.0,6036,9607,-3018,11323
290,7372,-22360.0,5812,16044,-13979,6613
300,4256,-11200.0,4340,-12927,11368,-12222
310,8880,-14096.0,5932,-15851,-13,-11490
320,4976,-12840.0,2616,3525,-641,11228
330,2676,-11640.0,9672,16500,44,16192
340,6984,-28940.0,5564,13,-17066,2556
350,7952,-12040.0,4624,-11510,2265,-7047
360,5712,-19736.0,4636,9729,-3646,15198
370,608,-13148.0,11840,14544,-12091,17296
380,8472,-22484.0,-2064,-2150,-6533,354
390,12176,-17028.0,-248,8275,2289,8909
400,5920,-17644.0,3760,11675,-13427,10236
410,6580,-18308.0,5876,-16672,12094,-8384
420,6884,-11904.0,1312,-12578,914,-13413
430,8848,-10336.0,2992,-398,6877,3590
440,6012,-18768.0,4508,14473,673,12670
450,5556,-14056.0,10420,17379,-12887,8547
460,13236,-13812.0,4260,-25739,3510,-12035
470,5996,-6936.0,4200,-7882,15700,-3296
480,9360,-18704.0,5352,8959,-2867,16391
490,5144,-14192.0,7952,19922,2440,16221
500,4488,-11304.0,5884,2966,-3219,3553
510,6136,-19964.0,12680,-28582,6861,-15663
520,4524,-10080.0,2056,-16166,3734,-17191
530,9876,-17156.0,5568,-4189,-498,6379
540,2524,-16352.0,6312,24499,-16635,11843
550,8616,-14940.0,1692,-9151,13175,-4495
560,3688,-14812.0,8700,8091,-289,13224
570,2652,-14016.0,7516,18443,-17123,16188
580,8412,-20596.0,8572,-198,-9184,4112
590,5548,-13812.0,6016,-25203,9481,-14453
600,11256,-18444.0,3176,7797,-7253,19815
610,6476,-22748.0,7216,-25418,13772,-8703
620,12716,-7324.0,2308,-3877,-4617,1610
630,9964,-14048.0,-3672,19301,12785,7577
640,3224,-12188.0,11972,18433,-12579,13468
650,7492,-20600.0,9068,-11623,6674,-2337
660,9360,-18384.0,464,8173,-1727,11674
670,3120,-12524.0,10264,20744,-4988,9034
680,6832,-14524.0,7772,4794,-4176,3407
690,7468,-18540.0,6820,-20664,9146,-6980
700,6172,-11164.0,3160,-12221,-163,-14420
710,12516,-11820.0,2372,-17,-3468,4357
720,6120,-15136.0,6696,16185,14661,8830
730,4036,-12648.0,5856,18764,-11805,13341
740,7056,-16684.0,16968,-15371,1580,-5413
750,6484,-13376.0,4896,-32281,-3868,-17363
760,16440,-13056.0,-10852,12276,-1871,6425
770,2836,-10976.0,10444,18898,23616,12068
780,5812,-20448.0,12308,-8567,924,-9156
790,11048,-6656.0,2100,-6676,1275,-6685
800,10456,-15592.0,3784,6219,2120,14132
810,6216,-12824.0,11308,15095,-7389,16667
820,8092,-11108.0,488,-15884,-618,-6247
830,9652,-11896.0,2248,-3440,9298,-2883
840,7908,-16692.0,6616,10935,9300,6627
850,2828,-10856.0,11644,12886,919,12857
860,2468,-10160.0,9852,3163,-7032,4331
870,7088,-24304.0,10092,-18389,11620,-4047
880,3676,-14216.0,6452,-15214,-1254,-18759
890,6632,-11032.0,1172,-4275,5510,-9946
900,9856,-13312.0,5992,10762,-4027,11220
910,4376,-7716.0,8688,15946,15042,7396
920,7312,-13440.0,9912,-10980,15160,17724
930,7700,-17044.0,12340,-12265,9479,-12600
940,6252,-9248.0,3352,-15971,-17861,-12521
950,6784,-10888.0,7560,-4643,17377,-8460
960,1448,-12792.0,10040,21704,-7148,13415
970,5328,-13808.0,900,11012,-22234,12779
980,9140,-21900.0,5816,-15306,14447,-5806
990,4464,-13876.0,5276,-20891,14663,-19344
1000,5988,-10916.0,5352,-14413,9646,-8783
1010,4588,-12172.0,4568,6461,-11252,3950
1020,10072,-22368.0,4684,-14274,6614,-12115
1030,5708,-11596.0,4396,-16143,10569,-13620
1040,8596,-22172.0,9820,6774,-4401,21006
1050,2212,-15452.0,10764,13773,-18003,9134
1060,5732,-16804.0,-100,4787,-15639,-4509
1070,8688,-10432.0,-1012,-15756,18779,-2258
1080,7456,-8180.0,11216,-9008,12321,1256
1090,10652,-19172.0,9032,-1856,2022,12074
1100,2124,-15804.0,9400,5772,-7135,4430
1110,11492,-16884.0,2244,-6343,-12528,-5489
1120,5752,-11504.0,4036,-12023,9841,-6602
1130,3552,-9800.0,8092,608,-839,8648
1140,2548,-20072.0,8724,15368,-12196,15281
1150,4796,-12960.0,4836,16375,-11627,8768
1160,3516,-13248.0,8256,-9565,10677,-5649
1170,4724,-19128.0,8964,-21706,8212,-15065
1180,3652,-12584.0,1868,-8137,4539,-15119
1190,9540,-11396.0,12176,-287,2143,4519
1200,5012,-15392.0,5980,13202,-4715,15916
1210,4028,-13984.0,2664,15602,-24966,7237
1220,9860,-20348.0,6092,-4791,3710,4337
1230,5488,-14576.0,7200,-16587,11379,-9932
1240,6964,-12048.0,2588,-11704,-1359,-7080
1250,8436,-16988.0,6904,3024,2003,8427
1260,5108,-13232.0,4772,20146,-1243,6948
1270,5732,-13736.0,7724,12058,-11606,8980
1280,5968,-20736.0,9400,-18586,16117,-10265
1290,7232,-13452.0,4748,-16724,134,-13456
1300,8784,-15092.0,8044,10220,-12137,15052
