timestamp,ax,ay,az,gx,gy,gz
0,3076,7164,-16556,8270,16053,-17841
10,-88,32767,10056,15287,3167,3884
20,-4176,2944,11212,-7942,24150,12777
30,4472,23724,16144,-32768,-28024,-32768
40,2500,26320,2360,-9656,-32768,1237
50,-7228,-2268,-19100,-122,9038,-8419
60,-21076,32767,9844,32767,32767,-5501
70,-2784,8860,2472,1334,3553,196
80,2060,-1096,16948,-9731,20642,14786
90,2700,20096,4680,-9132,32767,10150
100,-620,4036,-4424,-4030,13493,13431
110,-11768,16420,-136,18839,32767,3319
120,-8092,32767,6128,23046,25813,-2398
130,-6916,10872,9332,2950,32767,12291
140,6576,23288,18540,-20322,-11667,-4425
150,4508,25552,1356,-8140,-32768,15711
160,-7712,-4608,-10824,-17853,-8460,-5545
170,-7920,8296,-11176,12156,32767,-8599
180,6100,30696,15480,8341,-8389,1722
190,784,720,10068,-5869,10258,8742
200,32767,32767,16028,-32768,-32768,-3824
210,-892,11096,-6228,-8652,-32768,7921
220,-5096,6376,-14300,11631,32767,-9799
230,336,32767,30708,17853,8314,2788
240,-104,4732,8040,-5793,18361,6132
250,-4544,21612,20404,-20193,-26693,3100
260,632,16844,-11168,-6727,-29701,6403
270,-8816,884,-17164,3804,32767,-4195
280,-11368,32767,30576,32767,22155,9062
290,508,10456,892,-9145,13593,7386
300,6572,-5636,25016,-14378,-24739,19695
310,1700,12240,-4636,-15842,-27865,-2624
320,-456,-84,-11480,-6437,-2601,-14683
330,-10276,32767,25584,32767,32767,10805
340,-1804,11144,5352,5067,-6862,3994
350,-1028,-4752,17964,-11612,10843,17431
360,4416,28372,7840,-5628,-32768,4676
370,-10912,-7724,-15200,-21949,-7894,2958
380,-208,32767,1032,15090,32767,-16843
390,4484,17460,2928,7025,-4355,-1936
400,-1324,-2932,14516,4486,11905,15857
410,-1528,32767,3076,-11978,-32768,12096
420,-6828,3092,-7836,-32768,-13722,4526
430,5592,24576,6560,9545,32767,-7226
440,2900,15176,10808,8612,-30652,-1878
450,1168,3088,1428,-2118,-10935,5217
460,3744,26900,-700,-8876,-29857,2216
470,2364,11848,-8120,-10413,-16878,8761
480,5212,12408,-1192,-13059,-13183,-2220
490,4008,11552,-9820,741,-16574,1280
500,5676,31156,2176,14843,2669,-1695
510,1016,10716,1444,-13793,17900,-2488
520,-1888,7564,15184,-11873,-21543,-1872
530,-3284,20384,-8416,-10849,-32768,12826
540,-672,764,-16972,-8789,-1493,-5451
550,-7708,32767,8132,32767,32767,1266
560,292,12160,7364,3185,12999,6775
570,-1812,-1668,12080,9331,5844,16827
580,8796,31848,8648,-13948,-23024,-11214
590,-4356,3032,-7260,-16595,-20290,14998
600,-6612,32767,124,18264,32767,4311
610,588,16336,11552,-110,-21882,-1622
620,344,-1240,7828,-7667,1468,8952
630,4968,29808,5948,-9180,-32768,6412
640,-5672,3640,-6676,-26987,-12237,3486
650,1768,9104,-6620,3858,27024,-969
660,7272,28108,1908,-1505,9296,-277
670,-3144,5468,10908,4128,26840,12976
680,-3904,26584,15512,-27231,-21137,-32768
690,-1176,17104,-5444,-14478,-32768,13059
700,-6624,-3932,-26912,-6662,193,-13437
710,-5784,32767,28504,32767,32767,9535
720,-1336,8696,4728,-3863,5227,3457
730,764,4956,15908,-8589,-5373,8948
740,3756,30104,5912,-6819,-32768,-3949
750,-7072,-5164,-11012,-23815,-11404,3412
760,5268,32767,17652,11561,32767,-6311
770,2508,21164,3592,4607,-22951,2618
780,652,3200,5204,3295,6467,10834
790,17720,28656,25864,-5476,-31784,-20891
800,-768,22348,-1024,-14108,-32768,-2324
810,-2176,14488,-2644,-21231,-25682,6211
820,4176,16276,-6716,-10977,-24722,-1154
830,5032,12216,-11084,-6741,5885,-5998
840,1036,29840,7300,13853,32767,-1447
850,2284,16248,9616,292,1011,3491
860,1756,-1340,20840,-15119,-10236,1062
870,9196,16496,-1264,-9418,-26390,9563
880,3952,6512,-2632,-5896,10040,-6890
890,1320,4536,-740,8224,14225,-7391
900,2316,32767,15860,14407,18490,7212
910,-1380,7524,6544,-8008,11088,3713
920,3956,12400,15972,-11135,-21635,-1570
930,6988,19340,-6272,-7613,-15800,3913
940,-4816,-4144,-13080,-7352,14502,-1241
950,3552,32767,24084,23696,20701,-4702
960,1500,14460,-1768,938,6379,6329
970,-1132,-1936,16196,2159,7174,17702
980,8556,28764,16132,-7059,-13087,2770
990,-4328,1224,-7368,-23939,-12302,809
1000,944,25992,-8048,14280,32767,-7901
1010,2324,18688,5656,6584,1575,2428
1020,-2256,-1400,10852,4407,11871,16856
1030,32767,32767,3720,-13221,-32768,-27244
1040,-1488,8764,-2524,-6027,-25200,4739
1050,-5232,13472,-13680,3024,21687,-18518
1060,2964,22400,17260,1411,1257,5956
1070,-836,-2752,9876,-2562,-1270,11054
1080,32767,32767,-14296,-17507,-32768,-9103
1090,1388,10728,-1748,-6037,-19844,1612
1100,2956,4940,-14684,-3012,1796,-15955
1110,3636,17440,27384,7965,-21118,-180
1120,-152,10068,-1708,-14977,-6245,1461
1130,-5344,32767,22024,-2430,6157,-5528
1140,508,16728,10704,-4850,-32768,-6897
1150,-5204,14180,2496,-10736,-32768,-2371
1160,1180,17724,-5128,-8682,-29077,241
1170,4664,10172,-8648,-8827,2377,-7459
1180,3448,31716,10536,9331,23567,-55
1190,2828,12440,4564,521,6443,1169
1200,-1252,1440,14376,-1858,-7735,6204
1210,9112,24016,1040,-5049,-20853,5412
1220,1552,5180,-1200,-7482,-9503,-920
1230,7232,18492,-3760,9836,32767,-17023
1240,2400,22040,12480,-4791,-11939,8694
1250,-2940,4544,18908,-4576,-10754,11077
1260,14548,27556,1240,-3958,-32768,-5489
1270,-2868,2364,-9008,-15069,-3805,-5589
1280,4960,32636,4824,18787,32767,-1301
1290,-4208,11936,19352,6426,1864,-3756
1300,372,6528,4508,-9218,-25121,1973
1310,20292,32767,5900,-22598,-26256,14659
1320,1888,7168,-3796,-12914,1586,-603
1330,-4624,7204,-7192,10627,29505,-5538
1340,1200,32767,31364,20138,32767,9670
1350,-4444,4788,10088,4980,14461,12925
1360,-13076,32767,21396,-16545,-14593,-32768
1370,1344,21052,-4796,-7595,-32768,16288
1380,-2104,2940,-20376,8132,19562,-11864
1390,1788,32767,29868,32767,16909,592
1400,416,8840,7144,-2864,11802,1754
1410,2060,5056,19752,-283,-18980,8672
1420,840,21288,-764,-11904,-32768,6725
1430,-7012,-2148,-17664,-17286,-3001,-9358
1440,7188,32767,17508,32767,22621,-13713
1450,7788,15008,-2964,2120,-1121,492
1460,900,3312,4248,-2321,4367,6015
1470,-6180,20608,18452,-7216,28025,2726
1480,-11092,25704,5952,4480,-32768,3936
1490,-8664,9444,-7460,-30682,-27773,7635
1500,-260,23224,-3440,-5341,-27656,-3860
1510,3076,13652,-7172,-8749,-460,-2396
1520,-1364,32767,6008,14206,24101,4767
1530,-248,11408,7296,-7444,1983,4102
1540,2256,1784,19032,-4717,-20433,10271
1550,2484,23724,-5108,-11868,-32768,1674
1560,-3252,-2572,-18780,-9217,7594,-12195
1570,-11824,32767,17880,32767,32767,10963
1580,476,13792,1616,1158,-18509,7363
1590,-2740,-1392,20364,1670,16661,11200
1600,8264,29796,-456,-15814,-30528,-3366
1610,-4636,2848,-13660,-27562,-12030,-1387
1620,-3836,24204,-3004,21733,32767,-8981
1630,1328,22248,14896,11172,3996,4810
1640,-5084,216,14444,3723,28127,13100
1650,-1620,32767,1996,-12515,-26853,9865
1660,-1152,10888,-4568,-18503,-32768,3894
1670,-1976,4420,-7264,9530,28243,-4594
1680,3468,32767,25564,21539,19933,5010
1690,1116,9252,-68,-9040,11872,4760
1700,-2132,7728,23680,-7403,1347,14173
1710,6240,23256,5348,-8746,-32768,662
1720,-5280,-3828,-17584,-16168,-2284,-10386
1730,-11116,32767,25616,32767,32767,3867
1740,764,10560,-1584,2095,-13091,8177
1750,-1004,-2508,13900,1264,-11149,16488
1760,11204,26792,14484,-13239,-14000,2861
1770,-5156,-128,-5716,-19165,-20267,6160
1780,-2056,22484,11484,-1996,32767,-12063
1790,1956,19424,10940,4842,-32768,-15948
1800,-1188,6960,7512,-1153,2750,-2914
1810,4896,26248,-1792,1457,-32768,-2778
1820,1932,9784,340,-13354,-31130,2132
1830,6512,15328,-7840,667,-6694,-4457
