timestamp,ax,ay,az,gx,gy,gz
0,-312,-16432,4044,-386,13958,-19767
10,3232,-5724,5384,-840,8777,-15676
20,6848,-8436,5696,2774,2631,-2748
30,17456,-23080,14064,-458,2891,5185
40,5968,-20760,8872,-2298,5155,3408
50,856,-11708,10316,-2735,-5865,17584
60,-1064,-8664,3004,4349,-18765,12756
70,-244,-15532,3676,-9138,-662,5214
80,-1428,-18556,8060,-8221,14016,-14349
90,6416,-14868,7324,5519,-3884,-22287
100,4252,-4484,-744,-4091,7484,-6850
110,13904,-2336,2364,-6313,-107,4913
120,20432,-25036,13184,-2575,2327,1551
130,11076,-17464,10476,2262,8141,-5988
140,8992,-9288,5952,-11712,-7126,-1768
150,8972,-8268,14232,199,8072,-9482
160,9996,-25800,10980,-598,6956,-7523
170,11960,-18808,14480,-4563,-9451,9033
180,3176,-9128,4564,-6016,-4827,20337
190,-1076,-11584,4836,416,-20508,16742
200,-3020,-16148,1372,-586,-8185,3746
210,-2784,-17116,5528,-7741,21208,-14320
220,5176,-13300,1732,-899,15950,-13042
230,648,-1512,11072,9787,17960,-20246
240,9012,-14664,1420,-1925,-10375,-12295
250,20364,-20196,19324,-1975,-1985,8882
260,9616,-16144,8232,2094,3927,12885
270,2356,-19780,3824,-6009,18862,-15782
280,4820,-12948,5684,-5047,25228,-17687
290,7052,-6300,2404,-2424,-3522,523
300,13452,-5172,5460,-9966,1983,-3591
310,15780,-23272,3564,3196,64,1904
320,11188,-21344,540,5802,-998,2903
330,5416,-11244,8080,-3192,5164,13564
340,-1380,-8436,3180,454,-21956,14621
350,-336,-19912,6236,-2676,-9580,9836
360,984,-19148,-672,-1715,-2394,541
370,-1668,-19424,5012,-1585,22195,-19549
380,6928,-8396,4928,773,3646,-15034
390,14916,-16880,8976,-1089,-9193,11634
400,4756,-12256,4728,2928,-4741,21231
410,96,-8156,5844,-2949,-9294,17460
420,-4516,-16436,1908,970,-23694,11920
430,480,-16892,3464,-7487,12305,-8963
440,3308,-18040,2048,-5766,14056,-22402
450,9892,-12036,6524,-3018,5740,-15283
460,5136,-5256,1212,-1903,6936,-8582
470,9324,-10284,9256,3596,7938,-11146
480,24980,-11616,18228,-2029,4950,4445
490,12624,-13336,8676,-3123,-1619,17602
500,5128,-8188,2620,1404,-2933,25410
510,2164,-14068,-1020,-270,14763,2165
520,-956,-8332,4276,-2179,21,6667
530,-2832,-15720,8788,-3952,2283,18716
540,-14180,-16284,6716,6159,-2238,6749
550,-13928,-20172,6484,-5366,2266,-12279
560,-4308,-12636,3848,-2171,-8151,-12383
570,-204,-6920,1188,1763,-2180,-7416
580,2756,-14216,2272,-4786,-8061,-6718
590,1912,-15076,5128,-73,8285,-2514
600,2928,-17504,3260,-451,2628,816
610,3008,-15128,3644,336,4445,5254
620,2168,-6776,3044,-1148,8089,12672
630,960,-10364,4768,-2267,-7902,7546
640,1544,-8948,5788,631,-15048,9919
650,-616,-24912,5236,-4634,-15264,7296
660,352,-16424,9912,2509,-2259,2641
670,-648,-16048,2656,-4711,23891,-11070
680,1936,-11140,7844,962,9635,-9923
690,4360,-9720,-148,3961,-103,-11115
700,10608,-16392,10544,5648,6817,-7260
710,12188,-24584,14384,-6722,-4375,8553
720,4964,-18476,8436,-662,-1581,14451
730,-1676,-9684,6632,876,-9119,16964
740,1288,-9696,1616,-137,-22543,9667
750,-1440,-14268,7656,-1606,5690,2528
760,14080,-16704,4608,385,-7449,-7736
770,15332,-24208,11516,-2785,1674,5625
780,8836,-15924,5560,163,-1545,11350
790,2812,-11788,4368,1788,-3220,17781
800,-516,-9204,3784,-721,-10658,15666
810,-5420,-22608,4092,-5195,-10037,5734
820,-2172,-22732,5952,-5257,15759,-14432
830,6152,-11424,3640,-7524,16865,-21659
840,7968,-4828,5316,8170,2755,-14656
850,15160,-11588,7140,3367,16620,-9152
860,14564,-17772,11760,-2473,-13390,12622
870,5908,-16200,8124,-589,3852,18370
880,4796,-2732,5796,1898,17712,-21458
890,11184,-9612,1624,1265,-8547,-23158
900,23840,-8720,24748,-6320,10602,1446
910,14172,-10144,7548,-3267,328,14537
920,4308,-12056,6796,-6899,-7159,28645
930,-3480,-7644,1980,202,-22592,22165
940,-5920,-25528,6852,-4475,-9163,6321
950,-156,-20236,3320,-7478,4990,-9409
960,-308,-13904,4204,-407,30011,-20252
970,-1544,-7976,3772,3021,-7311,-11984
980,7604,-17764,6964,-2911,6726,-12399
990,17820,-24340,12720,-3856,-2849,3076
1000,7260,-19016,6008,-45,-2132,14876
1010,2840,-1748,5852,421,5477,-24875
1020,8840,-13976,1100,-2159,3937,-19161
1030,21756,-16236,22348,-7500,-1465,5287
1040,9392,-16624,2920,201,-269,9754
1050,3944,-10264,2820,-4015,-7073,19076
1060,3624,-10252,8620,12350,-10981,23374
1070,-2612,-15844,4124,-2141,-8859,7493
1080,-3564,-16712,6104,-7510,9385,-11695
1090,2236,-15196,2880,-6810,19933,-23100
1100,3500,-5880,6164,1508,2740,-14081
1110,10896,-10192,6868,5000,1383,-13436
1120,21080,-11664,20152,-2633,3141,1692
1130,-2280,-22096,5092,-409,-21497,13469
1140,-1932,-16944,5884,-1647,6556,-5607
