ax,ay,az,gx,gy,gz
10608,-18240,-2032,-10375,-10362.0,-4591
5104,-11684,-12748,-10494,7605.0,-1489
7616,-14480,-8740,10059,-9650.0,3627
6760,-14472,-1640,18429,12350.0,7086
-8384,-27572,26808,4931,8672.0,-4960
2864,-16768,8664,-17638,-2785.0,-1728
1776,-12436,2396,-1957,-4397.0,-765
2180,-3660,2040,1604,1847.0,-12053
2516,-20796,-6072,-3971,-1115.0,5478
1488,-13056,1780,3236,2241.0,3338
884,-1528,8040,5997,11188.0,5012
-6352,-15024,11664,16844,-6015.0,11337
3868,-17068,-776,-3310,-46.0,1198
3676,-15928,880,2259,3332.0,1808
-2440,-680,3836,11780,7914.0,1373
-2916,-11784,9320,7845,-10393.0,648
-2540,-24332,20168,-5412,15149.0,-2237
7304,-17536,4492,-9958,-18019.0,-6884
6176,-10736,-4716,-15714,-1368.0,-3144
7048,-13916,-7324,-5902,-4061.0,1064
7104,-12652,-5984,3515,3218.0,417
6492,-14036,-5572,11948,1834.0,2127
5352,-16996,3416,15933,7108.0,9214
-2424,-18796,15392,-5977,-6062.0,-2267
264,-11576,5024,-8126,-6457.0,-2351
-8,-18396,13028,-10596,-2164.0,-3645
1184,-10308,2684,-9069,-2182.0,-4599
1276,-8664,7484,-4769,13689.0,-2688
5124,-16628,-200,-2336,-5585.0,3686
3248,-15624,1800,1837,-717.0,889
4000,-15392,-32,3167,4082.0,2676
292,-9580,3880,7029,13150.0,3310
-1396,-4904,8684,6611,-2969.0,3341
-5320,-22960,13884,3515,759.0,-742
-1344,-19872,16980,-12812,-5603.0,-10785
9332,-14900,-1472,-12915,-16111.0,-1680
7504,-11952,-6140,-10125,-779.0,14
5792,-13388,-5712,5059,114.0,-75
5404,-24184,9132,14659,10104.0,7405
604,-18912,11884,-2016,4209.0,1982
1648,-16912,7944,-10752,-5322.0,-453
832,-13428,3176,-2917,-180.0,-3638
-316,-9100,5392,862,-14329.0,-4382
4888,-14520,2892,-398,-2469.0,-166
4440,-16244,1688,-998,5748.0,607
4704,-15664,1108,911,6228.0,723
3076,-9068,1452,9147,9402.0,942
-1708,-5060,10736,1488,21685.0,-1681
-316,-18768,17680,-700,-12735.0,730
1764,-19464,18504,-11883,-6095.0,-13216
-3024,-19752,19664,-8636,-7710.0,-5516
3472,-16584,8416,-11660,525.0,-4591
5500,-15928,-2516,-17637,-13990.0,-6312
7288,-13596,-7552,-4066,568.0,-2089
6276,-14232,-5408,5784,-873.0,3523
4608,-14112,-3320,16567,6462.0,3625
1312,-16720,13984,16725,14709.0,9798
-7084,-18504,18552,-3055,3650.0,5518
-1544,-15516,10836,-14496,-8688.0,-5910
-396,-11864,10536,-6809,4551.0,-4276
28,-3640,-2888,2882,-17113.0,-7258
3284,-12888,2104,-3653,-7936.0,181
4432,-18252,-372,1869,9637.0,2768
312,-9456,4852,5883,6629.0,555
-4212,-488,6968,6986,12092.0,5202
-4472,-23184,19068,7262,-3732.0,5207
-5496,-19812,23848,-14115,-10114.0,-6991
1540,-18384,10804,-16593,-4794.0,-8295
8160,-15040,-8988,-13144,-3539.0,561
7356,-12812,-5732,-3633,-1616.0,236
5228,-12492,-2732,16662,4956.0,5749
2316,-12508,7196,24886,9544.0,11436
-6912,-14100,21932,4106,8846.0,1943
-10848,-15340,22296,-16347,10278.0,-4159
