ax,ay,az,gx,gy,gz
7548,-22732,20180,32767,-32768,-18986
844,-25884,13304,32767,-21073,-23113
9252,-13372,-8744,-2562,-17790,13939
-1636,-27464,6152,-16591,20254,32767
1720,-32768,15248,-28967,32767,28958
10636,-9924,15640,-775,18347,-10311
7716,-20044,8116,7264,-32768,-14189
-9772,-6500,-9560,-24132,-32584,-16154
5080,1768,-17292,12307,-8201,928
-2184,-12268,-9100,15275,5064,11102
-7132,-19728,-9004,15304,-2366,2686
108,-20544,-6760,4078,7148,432
8860,-16592,15480,32767,32767,-23434
1852,-16412,23212,32767,-32768,129
-6884,-1596,-20436,4803,-32768,4722
-6776,-5236,-8684,15493,32767,32411
3260,-32768,16984,-13312,32767,19284
3924,-19632,13020,-12602,32767,-22885
14756,-10116,12164,9834,5510,-9461
3780,-15156,8332,31211,-32768,-15294
-2540,-13172,-8720,7007,-11702,21467
-4280,-19620,5024,-11268,32767,25880
18264,-21760,20396,7797,16258,657
4220,-19692,21332,32767,-32768,-25094
-4596,-32768,10760,24991,-32768,-640
1760,492,-18692,2670,-2888,2452
2888,-5780,-11608,5526,11755,21130
-1868,-19860,1640,1088,32767,30172
14556,-11736,11848,-7162,20903,-8381
10644,-26712,5000,-4913,25,3852
340,-14088,1276,2067,-15587,-6715
3648,-5400,3520,1177,-3031,-1217
5344,-28184,140,60,9615,14420
988,-9676,3136,-1644,8391,-10922
8036,-15908,5004,762,-10705,-1000
6488,-19392,900,-205,5049,1600
3340,-7388,2524,1732,-346,-2712
5928,-18348,1720,961,-2443,3655
3724,-17732,-448,337,221,-2216
4088,-7756,3528,2429,-2971,-4189
5220,-20476,-1104,82,88,255
5976,-17048,2452,4091,-6369,680
1992,-3952,1108,5345,5648,-3352
9556,-25788,5984,2810,14849,5737
3244,-15176,9096,-4251,-22151,-1776
1660,-9276,144,-7047,-15721,-8775
-4400,-10404,-9584,12594,17430,4734
2964,-10800,15476,21291,32241,1657
5532,-29036,21596,-4777,-30457,22083
-13084,-14764,-5808,-20237,-14290,14870
-12292,-11260,21840,-2032,32767,-32768
17816,-19552,28036,20404,6086,-23441
-876,-31216,23720,32767,-32768,-14194
-4916,1804,-32768,14939,-11014,-26501
10528,284,-7920,6121,-4054,7101
-6248,-12012,-1368,7910,32767,32767
12536,-29696,26444,-32768,32767,9898
25064,-3552,27100,13816,675,-9593
9312,-18576,12060,32767,-28833,-27968
2724,-10164,-3548,6695,-19457,-4250
7096,-8208,1168,-5824,16945,16451
11992,-22488,9760,-17433,21443,31640
1876,-19792,5624,-12256,-5777,21902
6980,-4072,12292,4688,26694,-13118
8436,-24332,5836,3178,-2457,1257
240,-8448,2412,-2381,-12659,-2667
4068,-13024,2352,-3470,-1109,10696
1092,-21992,-1684,3233,5586,-6116
-4724,-4520,-820,6122,-4477,-15273
2820,-32768,2324,-16167,29014,23090
12116,-6776,13044,16520,-2320,-14537
8896,-9092,24476,32767,-16353,-11175
9272,-13516,13572,22939,-23266,-18782
2304,-2448,-9328,-16424,3856,23975
836,-18736,11964,-10113,28560,30186
17856,-25440,29916,-23755,32767,15676
7012,-13820,17376,26832,-32768,-13966
-408,-15956,4820,16412,-20648,-32768
6456,-9452,-11420,-15494,4532,27059
-1920,-19132,8712,-32768,26836,23820
19780,-15796,32767,10503,-1682,-8475
5496,-13484,7188,26448,-24791,-32554
11868,-7428,1560,20300,-12377,-13479
-156,-8476,-4272,-17379,17379,23033
1148,-19684,8456,-27229,32767,32767
21292,-19908,25984,14347,-21756,-4295
2620,-11808,8620,31382,-21603,-32768
12068,-5892,9964,15127,-32768,-2429
-4652,-7400,-7200,-8188,32767,32767
17068,-15720,12660,-26976,31763,11716
13696,-25416,16332,17656,-14106,-8426
4364,-5840,9812,28333,-30106,-23578
8496,-13828,-3104,6826,-21748,-13829
3560,-21824,8112,-23556,32767,32767
6428,-19660,8616,-27384,21614,32767
25512,-9776,26328,-8183,32610,-13375
