ax,ay,az,gx,gy,gz
5660,-10412,25876,2861,11617,3360
988,-12456,13880,7421,5847,-4987
1888,-8964,17824,7601,-654,2605
2344,-9976,15120,-3407,4577,-6134
2488,-8396,14904,-474,-3532,-2494
4316,-9324,17792,-3929,-4656,-5385
1216,-10828,5004,-8398,-6808,6130
-1968,-12824,-5764,-9429,7089,7620
-2336,-16840,-4800,-2835,-2908,-2799
-3796,-21484,-996,5340,-10626,-3821
244,-15452,-4520,10994,1373,-10684
2540,-14144,5616,18382,4739,-4468
3888,96,7172,-3311,-13595,8767
1860,-11408,13188,4286,1874,-3548
356,-6452,16684,2919,-1805,1058
892,-9464,19732,-3517,3990,407
408,-11444,14612,2406,-869,-7704
4416,-9512,14300,-3855,-8365,-8102
-2252,-8972,-1888,-6979,-22673,11457
-744,-15384,-5320,707,623,4520
-2224,-16980,-2048,-15637,-2426,1149
-6816,-19524,-10780,1627,-6299,-5953
-1196,-13116,-10604,10250,8170,-11517
-740,-13012,-4984,16843,1907,-7388
1888,-13596,23492,14637,18716,-6532
4240,-12268,5680,9095,-45,-5133
2112,-8012,18884,2251,11788,-6687
3668,-9136,12620,526,1724,-5461
3580,-7256,15712,-1811,-2183,-1270
5232,-8816,19304,3331,-2433,-4838
3092,-18360,11044,1343,1403,-1478
2276,-11760,6476,-4621,-16218,4862
-668,-5216,1604,-10587,-19635,4942
-6328,-16136,-14504,-956,5554,7737
2884,-19604,2784,-9935,-5599,3292
-9864,-20960,-12740,-5314,-2357,-6786
1416,-17064,1904,10684,-613,-2166
672,-14408,-6568,6509,3215,-5141
8824,-19416,3520,16488,8027,-5030
5844,-3688,10092,-1077,2772,3902
1036,-12112,20808,5756,18130,-5420
904,-10808,12628,4322,-5204,-3703
1860,-16604,8684,-4506,-929,-872
2504,-13152,9068,-4394,-10498,1967
-792,-10660,3028,-7057,-22425,5866
-4928,-16572,-5252,-1472,-9975,8258
-3456,-13224,-1056,-11944,7435,2565
-6640,-23680,-7464,-8949,-3131,-1037
-4032,-11640,-12904,13404,7514,-10702
-1900,-16232,-1928,15145,-1748,-5259
-760,-15764,-36,16061,6555,-13000
3396,-9568,24324,-8491,13387,2462
-456,-9696,15048,9114,-1360,-6979
1908,-5704,20336,733,16,-684
2472,-16064,8436,-3845,1919,-1152
2092,-13936,7436,-411,-6289,-1239
1936,-12732,7168,-3555,-14864,3098
-576,-8476,1356,-8300,-20474,7959
-3184,-14308,-11004,-12274,12590,16707
-4100,-19012,-5772,-9237,-17384,126
-5188,-11448,-15896,-3276,-9125,-11414
-1304,-13628,-9132,10304,858,-4548
652,-12504,-2436,16948,4486,-5570
-2660,-21516,13128,20178,19773,-990
-4,-13852,3948,7196,3949,-1920
504,-10572,20120,2203,906,1111
3548,-12556,7396,544,9224,-3490
4296,-14296,11972,-344,3807,2396
2368,-14980,8508,-1872,-9411,1738
2460,-15320,8464,-2282,-666,4835
2016,-13092,2360,-4406,-11968,3462
-28,-12528,-552,-7295,-9619,6255
-6788,-13804,-3848,-12384,6820,10073
-6292,-29212,-5772,-4179,-4984,2496
-5032,-17460,-9880,2326,-7961,-11671
-1768,-16208,-2936,13082,-2410,-4544
164,-15852,-3340,16336,-2871,-11529
-560,-24660,32767,9115,25651,2605
-3356,-10292,-2856,710,19180,-12937
1492,-8328,2036,-991,14799,-5118
4188,-16036,14236,-2232,13071,2989
2940,-15892,7624,-745,2550,-1551
3352,-15644,6004,-3126,-3563,1149
3652,-14360,9400,-691,-8516,-1902
1992,-10184,6576,-3625,-20149,5915
-5516,-9236,-6700,-2476,-25395,12328
-5912,-20544,-2384,-13909,17680,16151
-3484,-21460,-1804,-11528,1141,266
-7292,-20456,-15992,3332,6288,-9659
-1824,-11820,-10564,9672,3818,-7471
616,-16084,84,6929,27359,21264
2252,-14604,-8872,3562,8313,1137
-404,-9152,5968,3470,17578,-5148
1800,-13540,6464,4436,8340,3408
1040,-16616,10076,1495,1982,2470
236,-16276,7368,-2914,3896,-1607
812,-14348,9212,-2986,-3057,-3422
1388,-12624,9036,-2607,-17194,2544
-1644,-9760,2148,-5729,-14469,5166
-3540,-14816,-10172,-5447,-13155,14570
-1856,-21656,1688,1135,-8389,-1252
-316,-18928,-476,7365,-3845,-4499
-2836,-18016,-6964,7760,24043,25746
1876,-15208,-5640,10189,-6548,562
-1276,-9276,824,7311,20477,-4475
1852,-17148,10556,5785,9801,3199
1928,-13400,9544,2066,4172,-3285
2180,-14724,7668,-5542,3922,-4578
3516,-12664,8284,-10568,-4880,-1319
1880,-10976,4404,-11127,-13737,4615
-3244,-12852,-5976,2801,-19350,9687
-3996,-18568,-5204,-10477,11175,4835
-4096,-18960,-2556,-7596,420,-576
-1988,-16184,-7340,4799,3197,-10503
12888,-13112,-14660,869,-1994,20878
280,-18808,-10772,9293,18505,23678
5320,-10672,-6700,7631,791,4759
-8,-7356,3200,3182,20726,-3063
3352,-12308,8232,3007,14787,584
3164,-15640,4720,3462,3846,-509
3548,-15104,9512,-2649,2449,-1121
3444,-14084,10568,-2666,-6947,899
204,-11728,4992,-9679,-12860,7673
-3108,-7216,-2332,-10205,-23670,9049
-4540,-17564,-7460,-3615,16940,-180
-2632,-17140,-7420,-5790,-10314,-4366
-652,-11256,-8040,8580,-3740,-13554
2428,-21392,6356,2635,32767,17312
-3048,-13748,-2944,-6825,32767,-5136
2360,-10904,4124,-693,7234,-5244
5328,-14852,7000,1048,6049,-2813
4500,-13020,5828,2465,-2706,3029
5124,-15444,5176,2097,-4514,3961
2852,-11452,9960,-2939,-13501,6066
-1532,-6720,2044,-9034,-28933,13525
-4576,-17708,-13932,937,11321,2577
-1860,-19560,7640,868,-9226,-1651
-2912,-19644,-2112,3219,-1906,-1408
-784,-19504,-12504,7111,-7284,-9326
6636,-17708,-8064,1472,2305,90
-556,-9688,6896,-346,23413,-3569
2928,-13628,5412,2302,6507,-3634
3900,-13112,7780,254,5941,1515
3420,-16220,8896,-2910,-7816,5010
2052,-11956,9104,-6271,-12862,497
-3476,-12328,248,-4846,-20482,11481
-2576,-16612,-8184,-5623,6875,2832
-1616,-17112,-1964,-1637,-6728,1133
-2320,-25240,-4664,2308,-15577,-4031
2780,-12332,-5200,13512,3347,-8900
2756,-21316,11408,18730,11559,1201
3732,-12588,2684,-2233,12566,-2749
3360,-15880,5704,2914,7576,5229
3040,-16324,7112,818,-533,2428
1908,-14864,7028,-1172,-9693,680
688,-10892,4612,-9110,-16098,7728
-3232,-12236,-6712,-903,-10028,5172
-1824,-16612,-2572,-7008,10461,4570
-2808,-19784,-9888,1257,-1949,-1230
-5716,-22224,-8872,6196,-5328,-9005
1420,-15948,-3312,17291,4023,-9485
4072,-13224,21752,1049,6559,2864
1996,-8508,17784,9819,1174,-6005
2996,-6152,18536,7378,-1614,-7829
3312,-16200,6104,-2339,-3720,23
4416,-12252,7584,-3656,-12796,-1682
-1484,-9008,3748,-8517,-27694,8983
-5136,-9344,-12860,-2005,-788,9747
-2324,-24340,-1068,-7632,1721,2910
7716,-11012,-15924,-3408,-9691,-12451
-3184,-14472,-12268,8531,1438,-7680
1748,-11776,-3820,17183,4231,-4105
3264,-16552,16216,21000,15947,-3758
268,-13348,9024,10531,8567,-1321
2276,-9452,17248,114,4840,-3945
1944,-9704,13748,5032,256,-4629
2300,-9936,17460,-298,-1035,-10702
1672,-11028,4680,-3549,-17880,3576
-5172,-12208,-3328,-1828,-23906,11624
-1956,-16796,-6496,-10608,10259,9010
-3316,-14568,-5996,-5237,-8239,-268
-7988,-30268,-8940,987,-8164,-4066
-412,-13168,-5016,16217,3813,-8821
1656,-17776,-2244,16247,6502,-9410
5584,-1788,14820,-5521,-13742,11231
4500,-9656,13164,5263,10376,-6217
1144,-9316,18340,3986,5846,-4171
6560,-8684,17964,3508,-5114,-14285
6584,-2692,12924,3625,-12188,-7501
11240,-2592,11484,-8954,-417,-3036
5328,-10740,-4428,-5446,-7266,11593
-5940,-13736,-6832,-11251,3964,733
-1120,-16808,-3048,757,-5466,1598
476,-10268,-6876,8432,1449,-6828
-3220,-13420,-6532,12605,3798,-10206
4660,-23652,13844,16327,20991,4105
396,-10640,1712,6019,10569,-5165
1320,-10568,18348,2450,7386,-4128
2012,-8024,16864,8584,-476,-4799
3492,-5044,18520,3280,-4374,-8277
5272,-8064,12792,-1299,4589,-6025
6692,-5316,16076,-1422,-10225,-4788
1412,-11640,7516,-4075,-17540,4562
-3284,-12192,-5084,-6071,-17069,7541
784,-14548,-6292,-5843,8057,9344
-3868,-17836,-2580,-2456,-2911,-1130
-2176,-24356,-2588,15609,-493,-3136
220,-19988,-4348,13569,2009,-7420
-1204,-15556,20368,5884,7675,500
384,-10724,15656,6661,13954,-9869
1168,-10936,13940,737,2540,-1679
2056,-11652,14552,2877,122,-4433
4520,-7484,16844,5941,-5508,-9949
6160,-4448,17224,1063,-6806,-5263
8808,-2468,18180,-2753,-7539,-3928
-9620,-13960,-13140,-2542,-16543,11206
484,-17664,2408,-6647,13578,1173
-5624,-17568,-12024,-2736,615,-7933
-1328,-14292,-10644,7517,5100,-8368
3092,-14380,-3836,15953,6189,-7268
684,-20936,14364,15234,6457,398
2896,-9924,5584,6677,7957,-7976
2832,-12332,15984,2576,5201,-3858
2152,-10840,13396,3877,811,-5611
5492,-8888,16040,2174,-2457,-7954
6232,-7328,15260,293,-3255,-7135
9004,-6620,15792,-113,-7269,-2556
360,-13172,2336,-4635,-19544,12121
-1876,-11668,-2844,-2238,-11415,9133
-2844,-15324,-4636,-10969,9291,6577
-6324,-23588,-3704,1212,-8285,-2829
464,-14688,-3444,11923,2385,-6114
1608,-12000,-3844,18410,2759,-6152
-5172,-18416,32767,16890,19404,-189
-1436,-12712,4028,9343,7085,-8613
2520,-7680,18908,-219,4691,-1192
3484,-9212,19976,-181,3147,-10672
2540,-8004,14812,4147,150,-11322
7140,-6152,15584,2079,-11180,-5445
764,-8164,4584,-9543,-21355,9922
-1972,-8292,-12376,-2255,-52,7397
-7776,-23756,-4544,-11238,10579,-2528
-764,-18836,-14228,-2287,906,-12252
-2708,-19444,-4828,11562,-373,-3092
-2152,-16184,-1272,12611,-1055,-8242
13688,-21204,13080,12597,25170,3507
3340,-1572,4564,10117,3611,-1733
620,-13472,20620,4341,9346,-746
-204,-7000,14688,1248,-3865,-4587
2328,-11944,17252,-1494,-3260,-4163
3564,-9252,12656,2084,-2055,-10710
-1684,-9768,-644,-10484,-10175,9357
-2696,-13508,-6392,-5862,3339,8134
-5352,-21892,-2036,-8484,-6891,373
-3660,-13648,-13244,-513,11599,-14663
1180,-14736,-7888,13168,-4399,-1876
4304,-19636,4472,17799,3563,-3228
1704,-9280,6936,5363,-4310,4659
1000,-12996,20224,4855,11842,-3933
196,-10784,12996,617,-3624,-4130
3048,-11956,14948,-2301,695,-13965
6440,-8248,15360,7765,-2462,-12307
9720,-6740,15792,2113,-9397,-9670
9356,-1360,9056,3514,-8676,-8038
624,-14672,3444,-12192,1372,-3431
-2648,-17284,-8236,-1793,1402,-4520
-2360,-18540,-12184,14574,-13352,-1307
-4908,-14692,-8560,11378,5215,-12195
5520,-14192,736,17339,950,-7781
3204,-20372,25324,6335,29977,363
4344,-8576,11524,7322,5214,-13001
4324,-7236,22448,855,9510,-11922
7208,-6792,15264,3909,-6982,-9312
8120,-5016,16092,841,516,-4386
9612,-3552,16288,2173,-10938,-914
11688,-3024,10680,-999,-7398,-5149
-5868,-12836,-10304,-2670,-2973,11808
-2232,-20888,-3432,-5247,14272,5240
-6640,-19048,-11000,-6428,-6987,1851
-4568,-13068,-12536,3768,5104,-9408
140,-13096,-5856,10515,3474,-6729
-588,-14516,-4584,15584,3270,-7970
1900,-22584,23728,14146,15180,2472
2080,-8136,8156,7494,15726,-9360
1872,-12624,19012,956,7325,-6111
4524,-8908,13396,2209,457,-9462
6632,-10188,15908,5478,-3385,-7646
7692,-6412,13796,3275,-9649,-6574
10436,-2512,13568,343,-10503,-3375
-4300,-8268,-2736,-7744,-17187,6250
-720,-17312,628,-943,22710,7938
-3032,-14396,-5616,212,1315,-1335
-6344,-16764,-8508,370,-19687,-21427
1940,-16436,-2364,14117,1316,-7612
12952,-7600,20860,-8187,9614,324
-980,-10488,17280,10271,18071,-7344
3092,-9036,16952,2102,717,-5351
4096,-12432,12688,-2663,-954,-4416
8464,-9924,14872,7480,-8061,-11531
8712,-4644,10252,1292,-7138,-7933
10552,-4516,10284,4037,-19532,-1050
11648,-7988,-424,-564,-26190,5715
-3076,-11412,-6648,6971,3361,-9076
-3456,-20752,-1732,10221,-2738,-4494
244,-14872,-1956,16237,-10525,-5454
-4520,-25508,13088,18458,18397,-6318
-1652,-6684,11696,7437,5092,-13352
740,-9808,19744,2922,10889,1580
632,-8360,16636,-124,779,-2986
1520,-9412,17300,532,-2397,-4639
