ax,ay,az,gx,gy,gz
552,13728,-1252,4983,3591,1149
1744,18264,-912,-3438,-662,541
4904,13944,-992,-3881,4663,18
2880,14884,-2760,-6473,10321,625
2396,14624,-2344,1820,16800,-28
-2360,17932,520,4243,20267,-560
-3920,18408,1392,8222,24875,-1577
-3896,17612,-156,6511,18612,-188
-480,15412,-36,3903,12199,-1519
2532,15508,240,-1137,5763,-2810
4828,17660,-2092,-4122,7896,-3107
4108,14972,1204,-6285,6875,2020
2652,13976,-2036,-2887,4017,1198
2472,21272,-392,1987,3095,-2840
1272,15684,2424,6673,11086,798
2272,13872,2552,5076,8108,2529
1292,15776,-1024,985,-1470,1148
5112,20292,-1468,-3671,-8387,-2909
4896,15372,748,-5510,-6599,1511
2832,13592,-288,-6418,-3841,536
3504,15756,-3732,-4451,-3841,-1100
2952,21664,-1048,1294,1339,-3369
1024,17784,2328,7363,10654,1400
876,14472,20,8067,2154,1572
2368,16800,-1620,2407,2685,312
4352,17796,-3880,-5519,-9319,211
3168,18228,600,-6550,-10182,375
2252,13812,-1856,-7503,-5481,2641
2720,15472,-2092,-3410,-2611,-993
3820,17000,464,2828,1921,-4406
824,17188,-228,6393,8955,-1533
564,14092,-336,5105,3770,922
2140,17356,-124,-988,-2110,2137
3908,13952,2400,-5173,-6766,5112
2208,14076,-3060,-8582,-7423,1291
2660,15044,-3152,-5667,457,-349
4060,20360,504,3833,7586,-3661
-1028,17452,620,8773,13680,2166
640,13940,556,6981,4540,195
1592,17368,1212,14,6376,274
4848,15328,-2436,-6046,-117,-3673
4128,18808,2156,-5899,-4823,-1573
2320,14492,-1216,-3746,1467,2009
3184,16172,-336,540,2500,-1977
2960,16868,1900,2190,12279,-2401
2816,15132,868,4491,4515,580
1816,14184,64,3836,-2121,411
2820,18684,-1112,-3704,-4971,-210
4196,13028,1480,-5156,-2289,1795
2976,14544,-3072,-7364,-8608,795
2604,14612,-2384,-3542,-6658,-1620
2988,18192,2964,1406,-6654,-2471
4096,16676,2560,4060,-84,-1
2488,15656,1544,6110,-4864,4083
336,15700,-1740,2199,-8850,2751
548,17412,-68,-2984,-19942,6315
2380,15064,-3604,-10662,-16702,6572
1356,14720,-1648,-6835,-21016,4798
3124,16008,-4096,-7478,-18301,3595
3288,15320,-4428,-8156,-11095,-822
3972,18980,1408,-260,-5311,-3542
988,17116,-1976,3460,2350,-1183
836,14940,-964,4461,-1661,2880
2620,15360,-3000,-971,1697,553
1724,18844,308,-3011,-5093,-185
5564,14948,3788,-2625,939,1584
2308,12932,-3756,-7008,644,2902
2560,14368,-2868,-3080,2234,-1409
1452,22616,596,2562,2192,-4121
1208,18160,4612,8940,10470,3249
1008,13168,-584,6006,2551,2062
1788,15012,-1984,-2455,-2149,1794
4520,23296,624,-7013,-13317,-863
2600,15960,2072,-4316,-9924,1719
1940,12508,-664,-5083,-6531,-128
3284,16420,-2824,-4669,-5088,-1303
2252,23064,-3392,1286,-1781,-2176
2028,20484,3552,14239,9060,2945
1856,13140,-3700,8375,-1417,1702
960,15540,-4196,-1287,524,1470
5660,16632,-4680,-13423,-11228,405
2508,16104,340,-7882,-5635,1244
2640,14252,-1500,-6105,-1666,881
3384,15648,-1420,-772,-170,-1411
3576,16448,-620,2446,13077,-3954
2436,15840,2304,6955,12109,617
888,14584,-2028,6924,-1278,1592
2492,20096,-2720,-4427,-2789,1385
4192,15308,2744,-2562,-1045,3756
1676,12972,-2512,-10166,-5457,2714
3664,14204,-3548,-5316,1487,-1013
2636,23264,-628,3852,5070,-4319
312,18864,2908,9459,11786,3498
-216,13652,312,8076,6979,2205
1636,16560,-756,-189,1158,-6
5164,14932,-4128,-7580,-3915,-2388
2488,17500,-2928,-8722,-5952,1875
2748,14980,-2744,-4810,407,1548
3332,16392,-284,1559,4442,-672
556,14848,-1576,3293,17407,-2173
-1028,16816,796,6831,17881,247
184,16000,-136,6813,9237,2081
3440,16764,-1192,31,2471,133
4996,16524,-2456,-2424,10080,-1460
3408,13636,-948,-5161,13281,-311
3184,16376,208,-2234,14588,-468
712,15036,264,4353,15112,-1713
792,19156,-680,6933,13991,-4040
-3344,17920,900,6611,21936,-727
-1880,16480,-260,6497,11951,-1314
-728,16096,-2304,1536,10659,-987
204,16664,-1200,-3516,2274,791
5224,14776,1276,-4000,-2052,-938
4192,15964,-1236,-6726,-1087,2253
3860,13712,-488,-3884,89,-439
3708,16592,-936,-918,228,-1750
4632,16280,1980,3070,12551,-5264
2668,16384,868,6960,3894,1076
1292,14304,-828,6385,-869,2150
2940,17316,-964,-1891,-3325,209
5188,12804,192,-7755,-3269,15
3388,16708,-1652,-9813,-10666,281
1900,15664,-2828,-6042,-9970,1536
3592,18864,-604,-1009,-1456,-2640
3120,15192,2132,4115,7846,1991
2260,14800,1508,9968,3855,-1271
2288,14632,-3876,2294,2176,-468
1592,20392,-2488,-5945,-7974,4032
3480,15772,3404,-6475,-3246,5209
1900,13208,-52,-8484,-2587,3949
2332,14612,-3208,-4709,-5365,-1240
3172,21748,172,2729,5724,-6682
-1244,18396,500,7661,14925,-512
-908,13032,2848,10615,8295,122
2032,19456,-1780,2104,15519,-453
1952,14544,-388,-4603,-3829,2265
2232,14384,-2340,-10380,-5329,3376
2428,14472,-2088,-7476,792,1271
2688,16292,-156,-726,1973,-1089
2776,17604,-716,5283,10947,-2439
1436,14592,1552,7232,12925,913
840,14680,-160,3804,2555,770
4612,21464,-716,-6062,-5985,-2085
4148,15772,2072,-5671,-3201,1605
2716,12996,252,-7497,-2197,1834
3988,16244,-1536,-2548,-4309,443
3776,20492,-276,3781,-1354,-3658
2120,16732,3992,9321,5482,-28
2700,14896,960,7831,-3369,-382
1420,15728,-3228,-1068,-5726,3983
2980,17928,-2052,-5885,-21782,5289
3140,15204,192,-9044,-10680,5833
1856,16344,696,-6118,-22042,4010
1844,15728,-3560,-6415,-18020,4659
3668,15936,-2968,-5947,-18120,1540
5112,15020,-2964,-7709,-12703,2560
3512,16536,-960,-3515,-6120,-2196
988,17708,-1692,3941,-1233,-1785
2396,14936,-1608,3818,-392,-141
2104,15960,-1944,4760,1115,-58
2780,16752,-1524,-2313,519,1263
4032,13900,-2448,-5993,-5287,53
3636,17668,60,-5871,-9613,-445
2028,14220,-3220,-5715,-3898,2388
3468,16248,-1316,-1854,2293,-2286
3396,17276,80,1206,8676,-4042
2236,16912,1612,7668,2907,700
1144,14116,-1112,4870,-330,2205
1964,17296,584,-2681,-3101,1855
2364,15384,3788,-3903,-13364,3221
2360,11984,-1596,-5624,-6213,-325
2752,14444,-3652,-3262,-2941,-2271
2520,19184,652,7,-5965,-2766
2084,18680,-952,5697,10826,-278
1304,11288,876,7318,3833,1165
408,15424,-5208,3007,1183,1028
2680,19928,-3208,-7950,-10884,3876
3796,14416,2772,-5409,-3944,3152
924,12512,-2772,-7437,-2952,1311
2980,16472,-1628,-2675,1783,-2003
1540,23124,-2016,2767,3188,-2353
-344,17428,3620,9112,13612,5121
884,13848,784,8654,1999,96
1136,16952,-3224,-2635,2402,74
5724,17960,-4744,-7331,-4701,-402
3604,18280,-36,-8930,-5493,2028
3248,14544,-64,-3544,-3712,1724
3244,15068,-3496,-1976,1047,-2627
3876,16984,528,2928,9589,-5644
2876,16796,1416,5531,9849,721
832,13516,792,6228,2682,2902
3560,17772,96,-2774,-7829,-1220
4432,13488,-384,-5971,-659,677
2956,13424,-2864,-8264,-2618,1649
2956,13904,-5236,-4113,1130,-55
2280,23660,-84,4738,7675,-4694
-2584,19336,252,7275,19231,2497
-840,15744,684,8845,11534,2615
876,15936,616,2076,10365,2340
-1304,16064,-1776,4145,19896,-3888
-1024,15936,-680,2366,9976,-2242
640,16616,-532,-2404,5282,663
1816,17704,516,-3240,1538,1153
6688,14188,1756,-1786,368,1696
5300,15276,1100,-6068,-4048,217
2832,13288,-2052,-3606,-1836,-1205
3504,17792,-2200,-2130,1757,-2808
4792,15464,3160,2646,7537,-1779
2688,16160,1108,4736,4332,418
936,13720,-868,2364,437,2615
2852,17752,1648,-2320,-6382,709
5360,13824,-1928,-8367,-7571,78
3792,16284,-1976,-6199,-9446,488
2816,13856,-4028,-4688,-3714,393
3040,15960,1252,3814,9545,471
1144,14168,2600,10276,7090,-114
2016,15044,-4052,3628,2689,724
448,19852,-3376,-4577,-10712,3213
3888,15904,1280,-4690,6444,3832
1792,13184,-1488,-6854,-3240,2408
1968,13824,-1856,-3422,221,7
1424,19844,-2300,116,2347,-4717
204,17708,2520,5582,21430,-789
448,14544,2844,9032,7224,-547
2376,15040,-2840,1666,1337,1569
696,22936,-4200,-6178,-5684,3557
3840,16616,3908,-2594,-2054,4823
2316,14084,-1460,-8038,1531,5505
3032,13764,-1716,-2718,-148,-1059
2472,21972,872,3161,3023,-4216
-656,18392,1740,7702,14413,-297
-136,13884,604,5620,5892,-198
376,17120,-1320,-343,1953,-552
4388,20344,-2444,-5917,-8697,-1374
3352,18264,1444,-5533,-8065,1433
2524,13684,-884,-4362,-4578,2006
3716,15696,-2684,-2707,-1299,44
3848,20384,-1448,1938,3723,-4643
1960,18332,3176,6580,7677,2232
1684,13624,604,5046,681,1159
2832,16752,432,-488,-1370,1484
3972,17784,-1200,-4986,-9726,-307
4104,18920,1596,-5512,-16547,4299
2484,13580,-1488,-6860,-10748,3488
4024,15628,-2092,-4651,-5967,-3140
3808,19552,-540,209,-5402,-3405
2524,19180,4308,5533,-6216,1796
2132,15132,1344,2243,-9439,3387
1336,16308,1180,-2646,-9946,2319
2072,18612,-3020,-7324,-23464,4057
2768,14388,-584,-8792,-15572,6812
4608,15332,-2808,-7263,-17246,437
3976,15480,-2880,-6765,-13241,-165
4876,15768,-2600,-6129,-9811,-1856
4716,15952,-220,1134,-6558,-1129
1572,16948,240,5212,6711,-3552
948,14080,-3440,2709,-1778,195
1648,17120,-2288,-1503,2008,-914
3220,21664,-1228,-2876,-9094,2231
4104,14780,5064,380,-1757,3722
2336,14168,-2232,-5058,6623,3959
3088,12204,-4048,-2702,4434,-1024
1756,22184,176,1342,5018,-4215
1152,19320,4148,8171,13340,2159
696,13872,-2112,7915,-2852,1820
3344,17120,-1180,-1535,-3379,1886
6240,13784,-1508,-9148,-1355,1241
4548,14912,-1832,-9643,-7855,1338
3608,14676,-1980,-6643,-10381,1401
4772,17260,1520,-6387,-8471,-601
4324,15404,5648,1149,-6867,-4273
1076,13724,876,-418,-5914,-1769
472,17944,-1304,-555,-1867,-95
-800,17720,-948,-203,-3594,2048
5240,12464,-1352,-1296,18022,-2721
2132,16560,3376,10363,8767,-693
1192,14228,-3704,6389,3486,-521
3300,15276,-2248,-1497,3583,-2579
3792,14984,-1088,-9205,1362,788
2620,14928,1900,-7844,-2987,550
1068,13600,-7156,-1359,-2218,5845
4540,20544,6688,5173,-2525,4328
2528,17336,264,-5858,8941,-2169
1060,13580,-108,2115,16273,634
256,16264,2284,10004,1590,4629
5008,21688,-608,-442,-1,-893
5132,14168,2732,-1742,-2967,300
4032,12144,4,-9714,-3216,1235
2972,15052,-3320,-7196,-2359,-1447
3148,20396,-792,1256,2279,-4450
204,18796,956,7159,12540,875
-404,13868,792,8649,7197,4405
2644,18016,-2076,2425,3255,-774
3140,16600,-2688,-4632,13831,-59
3560,14764,-1188,-6262,12710,1122
2760,14800,528,154,18541,351
-1148,15848,4760,4468,17433,-247
-748,17244,4200,8744,14061,-526
-1384,17508,-828,4010,16034,-453
-1292,15100,1256,1713,10773,960
4696,18124,3360,1697,10193,-4837
3772,14176,-2060,-1909,5926,-1165
4220,15748,-1076,-2455,6788,1681
3152,15304,-1036,-1458,744,695
2628,19788,-3432,-739,10542,-5847
848,19740,5224,8754,13011,-1539
-196,14124,1332,6577,2079,4457
2432,16240,928,1866,853,1462
6572,13328,284,-6102,-437,1014
4888,15980,-2656,-10545,-3778,1781
3736,13952,-3576,-7392,-10474,-758
3452,21592,392,-1078,-143,-3919
2580,15408,2696,4360,5245,349
2036,15696,1924,9377,10161,512
2344,15620,-2956,4373,-1705,2884
4168,20224,-1604,-5777,-9255,2151
2152,16144,-1200,-5115,-7040,-137
2680,13716,-276,-10441,-5881,2889
2708,15236,-1936,-3834,-1409,446
4596,15196,-868,1943,8818,-3230
1304,14804,-628,6813,9895,-2041
284,14312,1340,5356,2806,-680
3448,24060,-2800,-1918,-7506,333
4364,16700,2768,-4250,-7447,2601
1592,13116,-2696,-9102,-5723,2680
2392,15764,-2416,-2721,4837,-1819
2956,17808,-764,1296,11519,535
-536,14468,1616,7437,15430,1464
532,15644,1276,7368,4315,1247
4064,21780,-608,-5715,-3927,-70
5020,12832,3820,-3474,-1058,500
3724,13612,1244,-7590,1212,280
3316,14388,-1740,-3584,-3998,-1340
3600,23564,-408,3351,4284,-4783
2476,18068,4464,4982,3075,3475
1552,14016,392,7408,-6213,1211
2896,16768,-140,-1679,-410,1767
6276,14032,-20,-5783,862,-1601
3304,16576,-1896,-8465,-15007,1857
2692,14368,-3252,-3329,-11485,-759
3296,16500,-1004,-1739,-2869,-2079
3496,16384,1792,864,4265,-2357
3796,19584,620,6079,-6070,1683
-176,13880,-940,6247,-10690,3310
-308,16316,-1332,498,-9036,3409
432,17084,-6452,-7326,-24264,6561
2964,15788,-936,-10659,-17184,5657
940,15388,-944,-7770,-22166,4574
2240,15440,-6976,-8888,-16002,1773
4160,15328,-3064,-6903,-10403,-696
4220,18868,-584,-681,-2972,-2872
100,16028,-2316,4247,3418,-589
508,15748,720,7711,1468,-301
1400,15844,-5152,-458,3932,-146
2524,18020,-176,-3582,-872,1951
3376,12012,-948,-7121,-3749,4302
3640,16848,-1936,-4675,-6243,66
3080,13776,-2316,-2152,421,2265
3956,16240,-632,696,4065,-1866
3832,18072,-1240,1391,8538,-3925
2040,15676,1828,5534,10565,-1699
608,14944,936,5932,2399,1169
2300,18380,740,-2472,-2727,2419
5068,14288,696,-4991,-2373,1164
3388,13160,-1028,-7157,-6528,1057
3372,14684,-2428,-6141,-5144,393
2252,21544,-132,-258,-6361,-3905
1568,18172,-28,4922,6436,545
336,12876,2120,7210,6443,165
1804,15336,-3276,1441,-4657,-333
1744,22364,-3432,-4469,-19508,3368
744,18500,-820,-4604,-7753,5047
344,13608,-2304,-7377,1158,4201
2536,14424,760,1491,2702,-513
2328,18444,-2068,4488,5990,-5835
1980,16244,776,7994,10595,-432
348,14232,-152,7192,349,2465
1192,17220,-2944,-5435,-9354,2260
4280,14924,-1460,-6573,-99,1291
2648,13656,-2656,-7926,-8836,5186
2144,14004,-5296,-4695,-119,819
1572,22988,-2752,529,4887,-4954
-36,20736,5104,9533,23629,1061
-8,13692,1816,11079,2380,3758
1544,16552,-1704,373,2199,1824
5436,13344,-5140,-8104,-2941,-2920
3560,15184,-952,-10354,-3810,634
2352,14972,-5328,-6353,-7808,2668
1912,19024,-1520,1067,460,-3283
356,17652,-644,4435,16787,-514
464,13952,872,6840,11604,1045
484,14360,-1452,2913,3530,-165
3808,20268,-4424,-4355,-3075,-2315
4256,19940,-2544,-3441,6445,-1561
1280,14416,-1876,-2209,12766,448
-1808,15780,-912,1185,22697,-1887
-2380,17836,2504,3084,23171,-3515
-4440,18452,2272,6270,19655,1510
-1492,16768,-360,4041,13499,-1722
-1072,14972,1684,2166,7050,127
3800,16548,-268,-555,6018,-2740
4924,16648,-860,-5182,7612,1554
3612,14224,-980,-4387,2080,2473
3680,16256,-1864,-1900,-2227,-687
2668,15636,1748,2808,11922,-5191
2380,14856,1048,4766,11620,-67
1272,14928,-156,4963,1510,1246
3332,18872,76,-4351,-2857,1613
5644,13080,2232,-4252,-2952,675
3564,13720,-2104,-8883,-5966,888
3256,14876,-3212,-5228,-5218,-350
2736,20672,700,982,-2305,-3879
2184,17440,3012,6190,9219,883
1688,13864,1620,5631,7827,586
2040,15564,-1192,634,-1397,419
3892,19868,-2304,-4959,-10795,-390
3656,17956,2044,-6577,-7858,1669
2404,14148,-2408,-6627,-6613,2996
3384,16024,-1008,-1004,786,-1748
3900,15464,516,1617,6933,-2246
2388,15796,808,4953,6161,-1575
1424,14792,880,2815,3984,1554
3716,22432,2992,-886,-11186,162
3092,17076,200,-4132,-6883,2711
2592,13056,-1156,-7188,-2235,1982
2592,16328,-1044,-2822,3139,-733
4892,15624,28,2305,8593,-2515
