ax, ay, az, gx, gy, gz, temp
-1612,-2364,16668,1012,-235,280,268438473
-1188,-2148,16492,412,37,-145,268438473
-1488,-2204,15880,389,449,-550,268438473
-1404,-2472,15932,334,-351,-382,268438473
-1440,-2488,15696,202,-119,-219,268438473
-1544,-2564,15164,60,194,-200,268438473
-1380,-2664,15308,239,738,-214,268438473
-1216,-2768,15248,176,1288,108,268438473
-1064,-2356,15076,88,1143,393,268438473
-2088,-1592,16504,2195,731,170,268438473
-4036,1088,24088,3379,-6356,569,268438473
-7364,2624,28240,-5967,-4170,-3750,268438473
-6140,-352,23156,-17541,-832,-10844,268438473
2652,-4144,16024,-25905,2587,-10469,268438473
5396,-8064,5620,-31105,-2947,-1197,268438473
2828,-8988,-1588,-26892,-12102,4333,268438473
600,-10328,-2612,-9715,-10637,3050,268438473
1992,-8816,1228,9052,-3502,774,268438473
56,-5024,6352,28173,3071,118,268438473
-4744,1244,22780,32767,988,-1579,268438473
-2656,4760,32767,27832,473,-5504,268438473
1552,3448,32767,1802,-382,-4240,268438473
-2560,-612,24796,-19496,-72,-4574,268438473
1836,-4868,17520,-20223,784,-1263,268438473
2080,-7244,11484,-16175,771,451,268438473
3256,-8488,5824,-7935,4034,2881,268438473
1596,-7684,2528,1727,4965,3878,268438473
64,-6228,3416,9376,2049,3501,268438473
-1100,-3724,7552,15816,-3338,1527,268438473
-956,-40,19604,18615,-9798,672,268438473
3184,1848,32767,9909,-3128,1847,268438473
-5380,1992,31600,-16551,-615,1295,268438473
-2020,-3432,20692,-24402,1281,-2125,268438473
1824,-7264,14248,-22768,2748,-1164,268438473
3248,-10548,3224,-17278,-4027,1544,268438473
3784,-10628,352,-2983,-3222,4183,268438473
2616,-9264,720,13476,2847,4908,268438473
-1308,-5128,5292,27621,4743,3090,268438473
-2508,816,20256,32767,-3565,260,268438473
-532,4740,32767,15889,-507,-1870,268438473
-3932,6316,32767,-10948,100,-670,268438473
-3192,-228,21216,-20463,2971,-3647,268438473
172,-5196,17264,-20693,4384,-2690,268438473
1752,-7440,8564,-17262,2666,-951,268438473
1720,-9912,2240,-5203,-317,944,268438473
1532,-8280,1688,6164,1861,1974,268438473
-400,-5872,4856,16272,1115,1799,268438473
-1016,-2784,13876,21266,-2367,354,268438473
-828,1336,26428,15745,-3290,631,268438473
-5920,952,32767,1896,3347,-967,268438473
-4428,316,25288,-16009,505,-2176,268438473
-1792,-4308,18348,-17445,1642,-3588,268438473
816,-6908,12996,-14338,799,-1739,268438473
2044,-8444,6516,-9141,120,101,268438473
1464,-8584,1936,-2110,-2979,2211,268438473
1608,-8160,2936,7726,-2678,2595,268438473
948,-6276,6528,17583,364,2462,268438473
-1092,-2112,15992,22748,-4887,2379,268438473
10836,796,32767,19991,-4769,3265,268438473
-5224,4580,32767,-2327,832,972,268438473
-5640,868,26848,-15513,1018,-2880,268438473
-1000,-2568,18872,-18620,3050,-4630,268438473
940,-5980,11704,-18696,1901,-2437,268438473
2524,-8032,4836,-13542,323,84,268438473
2064,-9452,1348,-5003,-1453,2203,268438473
2064,-7748,2072,4617,216,3074,268438473
772,-7020,4636,13206,-562,3440,268438473
588,-3832,10764,23110,-5874,4671,268438473
-2300,1772,19960,31526,-3373,2965,268438473
-4068,-2820,21568,24352,3393,5166,268438473
-6248,5116,32767,1076,7603,-966,268438473
-10576,764,29568,-12669,5121,-4709,268438473
-3312,296,20320,-20083,1334,-10413,268438473
3144,-2512,14836,-22718,2939,-6737,268438473
2164,-5716,8808,-23640,2887,147,268438473
1476,-6796,4524,-19744,453,3457,268438473
-1548,-8556,4784,-13150,-3113,3344,268438473
-1360,-8664,4096,-2322,-726,2185,268438473
-1212,-7808,10288,8242,-662,999,268438473
-2040,-6544,13656,12009,1052,978,268438473
-2392,-6140,15728,9855,623,684,268438473
-1896,-5540,17336,5974,-499,1525,268438473
-512,-5492,16352,4467,1411,2849,268438473
-3016,-4456,17668,2634,3948,1120,268438473
-3340,-4348,15400,1478,529,145,268438473
-2064,-4764,13372,-725,-5458,94,268438473
-444,-6100,12104,188,-4387,177,268438473
-584,-6040,12512,4609,-1124,1148,268438473
-3764,-3520,19504,8631,-1620,814,268438473
-5856,152,28048,2606,1146,-3874,268438473
-3804,616,24456,-11315,2553,-7472,268438473
1288,-4848,14660,-19136,-4029,-5171,268438473
3168,-8456,7588,-17248,-2598,-365,268438473
2224,-10532,2564,-7956,-2979,3816,268438473
232,-9624,3524,3128,-1619,4429,268438473
-1548,-7180,6264,12613,-4494,2618,268438473
-1500,-2676,17708,19273,-5233,504,268438473
-248,100,29116,17012,2601,-608,268438473
-5120,-680,30860,-1913,6611,-954,268438473
-4076,-3252,20620,-12036,2016,-3952,268438473
340,-7544,13148,-10812,1163,-1556,268438473
604,-8476,8060,-11146,2069,915,268438473
404,-9444,3300,-6342,-4075,2335,268438473
416,-7752,4332,1687,-4476,2383,268438473
-688,-4964,9140,11232,-5279,2193,268438473
-1540,-1152,21424,18522,-2175,929,268438473
-3496,1416,32767,10915,4621,-986,268438473
-6524,-180,28180,-7203,1288,-5928,268438473
-1392,-4352,19320,-11835,502,-7758,268438473
2548,-7908,14016,-9571,3279,-4110,268438473
2904,-8140,10636,-11746,3435,517,268438473
400,-8476,4820,-10542,-2193,2413,268438473
880,-8468,3360,-3449,-4227,2041,268438473
96,-7672,5964,5621,-2933,2192,268438473
-1028,-5396,14908,12495,-3403,2083,268438473
-3552,-2688,21788,13550,1874,78,268438473
-2248,-2340,28236,4435,3093,-2568,268438473
-3268,-3832,22208,-5338,558,-3592,268438473
-224,-6320,15732,-6270,872,-3580,268438473
2016,-7892,12508,-5647,190,-209,268438473
300,-8296,9464,-5524,-860,1551,268438473
332,-7848,8504,-2737,-1789,2040,268438473
-812,-6700,10704,1337,-2577,1914,268438473
-1780,-5100,15136,4561,-1778,624,268438473
-2284,-4672,17728,3656,242,-640,268438473
-1740,-6040,16496,1847,-1749,-720,268438473
-1008,-5804,17504,267,-1407,-394,268438473
-1284,-6072,16192,-188,101,18,268438473
-1472,-5808,15496,-406,-182,87,268438473
-1756,-5384,15480,-1263,-313,-614,268438473
-1932,-5320,14792,-1081,-1247,-1723,268438473
-1024,-5160,14988,-271,-2405,-2758,268438473
496,-5792,15812,-182,-1357,-2762,268438473
884,-6788,14852,558,55,-1499,268438473
216,-6644,14584,1397,-66,-480,268438473
-208,-6320,14692,1248,-2090,-316,268438473
-700,-5828,14860,1083,-4395,-797,268438473
120,-5888,15196,377,-3356,-1949,268438473
344,-6468,13676,-71,-2531,-2478,268438473
728,-5108,13628,-40,-4648,-2261,268438473
680,-5420,14804,-951,-5203,-1682,268438473
216,-6320,14412,-1329,-2827,-1610,268438473
2968,-7268,14148,889,492,-810,268438473
3644,-6908,14576,3454,4963,1705,268438473
1452,-5356,15464,4176,6390,1388,268438473
-680,-5448,15160,2703,6311,-455,268438473
-440,-4840,15716,2443,6872,-1415,268438473
764,-5892,15708,1886,9504,-2546,268438473
296,-5044,14496,1120,6378,181,268438473
-696,-4392,19944,1402,2136,2059,268438473
-3564,-3532,18996,-4356,-6085,2201,268438473
-1996,-5676,17384,-9420,-3774,-1763,268438473
-500,-9404,7564,-11807,-11299,-1109,268438473
1464,-8700,2500,-8948,-15619,1214,268438473
984,-6176,6500,-6091,-19906,5211,268438473
256,-3252,18476,4204,-4834,2538,268438473
-3912,-2576,32767,13190,6137,-2003,268438473
-2076,-2672,32767,4540,9510,-8990,268438473
2596,-8132,13492,-14943,5362,-11353,268438473
9332,-12288,-6408,-28705,-5157,1028,268438473
3348,-7384,-8580,-30423,-14008,6394,268438473
-3680,-8544,12988,2857,-20651,10214,268438473
-4752,-6340,32767,32767,18521,1950,268438473
12708,-11612,7064,-23011,-229,-7406,268438473
4036,-5700,1020,-16777,-15405,4558,268438473
-8096,-5972,19440,19847,2140,11170,268438473
1320,-7408,9656,-2426,3930,2088,268438473
20,-5624,17244,7827,660,847,268438473
16,-5316,18532,10596,2207,2054,268438473
624,-2208,18120,7571,580,-564,268438473
-88,-6600,14940,3694,-6255,-1398,268438473
1372,-4340,15368,3955,-4015,-1538,268438473
1744,-5060,14940,1031,-4224,-1284,268438473
336,-5044,15272,-2646,-4113,-723,268438473
448,-5104,14552,-2618,-3434,-1459,268438473
2108,-5564,14524,-1303,-2821,-1774,268438473
2244,-5348,15660,-1514,379,-2093,268438473
772,-5840,13312,-2029,3581,-2728,268438473
1868,-5628,14516,-736,1337,-2295,268438473
2176,-6176,15720,-233,297,-1414,268438473
2076,-4572,15712,665,4292,-993,268438473
384,-6096,14316,834,4919,-1436,268438473
416,-5204,15696,237,1730,-4,268438473
-276,-5260,15944,-600,1660,-861,268438473
788,-5552,15732,-776,3875,-1426,268438473
1520,-7800,14876,-80,7749,-864,268438473
2272,-6776,14496,2164,12997,707,268438473
1184,-5944,14992,2850,16222,778,268438473
400,-6504,14880,3487,18867,1895,268438473
-320,-5532,15308,5467,31200,2482,268438473
-1504,-4740,13588,6190,32767,3611,268438473
-2928,-4820,13636,4598,29824,7284,268438473
-6912,-3468,13528,417,19546,9793,268438473
-9268,-3192,13972,-2716,10104,9218,268438473
-12360,-2092,13272,-5547,-2263,7833,268438473
-17716,-1032,14296,-11817,-29666,4216,268438473
-17244,-1032,11736,-18992,-32768,-5548,268438473
-9988,-3060,14644,-19074,-32768,-17235,268438473
7716,-8888,15700,-4836,-11339,-19494,268438473
15776,-10720,13396,-219,3311,1935,268438473
9536,-7884,11468,-6507,4165,24333,268438473
668,-6460,7912,-6903,5968,28631,268438473
-5960,-5084,5880,-49,1027,25287,268438473
-13464,-1264,13008,3998,-13630,15720,268438473
-20184,-788,16660,590,-14729,-1736,268438473
-23488,1264,15848,1636,-9109,-24466,268438473
-8484,4276,17120,6722,-10857,-32768,268438473
12924,-5272,24292,3498,-3566,-32768,268438473
20932,-10500,20156,-5073,1387,-15198,268438473
13744,-12452,13172,-6647,6179,4120,268438473
12512,-11004,11136,-2269,7641,12740,268438473
7232,-6516,8800,-2457,7059,23535,268438473
-3920,-768,6420,810,-9716,24767,268438473
-14664,-32,13160,7284,-12381,8957,268438473
-12024,208,16924,12761,-4499,-11630,268438473
-11156,684,21444,8586,2152,-29701,268438473
4980,-4032,27072,3340,3527,-32605,268438473
12928,-9580,21924,-6682,5936,-13533,268438473
12512,-11440,17844,-11965,10098,5949,268438473
9932,-9216,5664,-13910,5582,20199,268438473
1624,-3440,1360,-5735,-8331,28509,268438473
-11828,-3688,6676,5481,-12017,14367,268438473
-14640,-700,12928,10802,-6418,-8858,268438473
-12632,-40,21512,14972,2984,-21870,268438473
2112,-2640,26976,4682,1547,-27080,268438473
12232,-9368,26372,-7726,7483,-10719,268438473
15832,-9292,18192,-11486,13067,10751,268438473
9576,-9448,6244,-9096,3717,24629,268438473
-1308,-2788,7344,-1599,-12387,28570,268438473
-16164,-748,12092,5091,-7890,11112,268438473
-14592,-812,964,10860,-6001,-12815,268438473
-10596,2196,20108,7487,1466,-32768,268438473
9160,-6176,24744,658,36,-29553,268438473
17320,-11356,17864,-7848,387,-3402,268438473
11464,-9976,10320,-7064,5893,16834,268438473
5836,-7004,7576,-3692,-4210,24812,268438473
-6160,-2204,9716,2795,-6242,22828,268438473
-17588,-672,13420,8214,-2401,1499,268438473
-16596,2588,18912,10268,861,-19287,268438473
-944,-132,27208,6452,4804,-32335,268438473
12828,-7356,24488,-7519,4350,-16005,268438473
15504,-11048,13396,-10889,3796,8475,268438473
9484,-10544,6232,-5645,7158,20389,268438473
2132,-2216,4340,-2695,-4403,27376,268438473
-11364,-2664,7760,6850,-12982,17889,268438473
-15976,1324,14700,16729,-1137,-2758,268438473
-11568,5516,26820,17959,3539,-21449,268438473
400,-1904,31852,1363,4922,-24553,268438473
6076,-7928,19388,-13195,6900,-11042,268438473
10792,-7204,13376,-16276,9288,6651,268438473
6768,-8100,1684,-8736,-5459,18618,268438473
-1304,-5184,5032,4408,-17009,20605,268438473
-13024,-992,10784,13793,-1557,7808,268438473
-17700,3392,18884,15832,1276,-10520,268438473
-5724,1960,30916,3953,3791,-24448,268438473
4824,-3272,27912,-10205,7153,-17414,268438473
11016,-8552,14936,-13991,4812,448,268438473
10176,-10428,6804,-4827,1604,15104,268438473
2496,-4204,7168,-2187,-7557,23684,268438473
-11500,-2576,10116,5312,-5397,13911,268438473
-19084,2276,17264,12510,3190,-4897,268438473
-10424,2816,25304,9653,6687,-22041,268438473
5004,-3316,27488,-4272,5612,-15387,268438473
6660,-7984,12984,-8573,-1943,1321,268438473
3952,-7868,11528,-1127,-2790,8113,268438473
564,-5760,13152,-741,1764,10366,268438473
-4432,-3564,10712,-534,-1249,8201,268438473
-5716,-2340,12836,2995,-897,1783,268438473
-3828,-2292,15800,5074,1053,-1218,268438473
-1908,-3108,17284,3198,-912,-281,268438473
-1796,-3720,17028,2312,-659,1096,268438473
-2516,-3628,17368,2092,-653,1797,268438473
-2780,-3300,18000,1371,-1408,1662,268438473
-3476,-2420,20372,-578,-1637,1945,268438473
-5780,-1772,22896,-8112,-3923,620,268438473
-6080,-2136,22276,-18665,-6409,-4181,268438473
-4864,-2984,18472,-25872,-7999,-7761,268438473
-384,-4500,12148,-26622,-6550,-9225,268438473
3424,-7608,10204,-23220,-6560,-5543,268438473
2824,-8688,7996,-19584,-6393,-832,268438473
2276,-9564,6720,-15402,-3070,2494,268438473
844,-9860,3508,-7993,-644,2239,268438473
644,-10340,2480,3481,540,1327,268438473
484,-9688,4148,16603,-1722,1051,268438473
-168,-6552,7580,28284,-3977,355,268438473
2272,-4596,14344,31752,2161,1974,268438473
544,-4420,18368,30150,1502,3091,268438473
-1332,-1444,25348,19822,2285,2109,268438473
-1156,-3752,25120,6921,2902,1552,268438473
-1996,-2700,22104,725,2170,132,268438473
-1424,-3208,21508,-698,3159,-210,268438473
-3024,-2356,23060,-6002,3356,-578,268438473
-4684,-2364,21800,-18697,-1392,-4004,268438473
-2484,-2312,18624,-31287,-6182,-8211,268438473
424,-5176,12180,-32768,-6286,-8580,268438473
3516,-8436,6128,-28126,-6391,-4661,268438473
3188,-10464,4284,-17779,-2221,411,268438473
2608,-10292,3688,-9381,1487,2963,268438473
1756,-10736,2560,775,1322,4411,268438473
580,-9532,1904,11929,1897,3970,268438473
-488,-9440,3940,26958,-654,1907,268438473
840,-5932,7984,32767,-546,-187,268438473
2040,-2252,19748,32767,589,1576,268438473
1116,-404,27912,29684,5359,4804,268438473
-2712,-680,28452,6993,4758,4389,268438473
-3700,-1408,21520,-3080,776,-241,268438473
176,-3196,20916,-1829,1483,-1442,268438473
-968,-3472,16640,-2279,-1543,97,268438473
-384,-3872,14972,-1345,-459,265,268438473
-368,-3800,13456,-660,2142,1089,268438473
-952,-3736,12504,831,-937,1143,268438473
-628,-3680,14272,2480,-1400,763,268438473
-608,-3392,15484,2318,-70,351,268438473
-600,-3480,16044,1900,133,-120,268438473
-452,-3220,16228,2261,-8,123,268438473
-716,-2664,16664,1744,-882,652,268438473
-1352,-3016,17116,438,-1171,478,268438473
-1412,-3272,17808,-745,-813,-209,268438473
-1712,-2808,17960,-3350,-1019,-976,268438473
-2152,-2800,19184,-7068,-1523,-2285,268438473
-1620,-1932,17980,-12916,-1400,-3879,268438473
-1868,-4072,16084,-14487,-1331,-4996,268438473
-760,-4792,15660,-15695,-3870,-5039,268438473
-344,-5988,16144,-17401,-4597,-5181,268438473
32,-6272,15224,-21357,-2789,-5874,268438473
1452,-6928,12172,-24923,-4516,-5665,268438473
1708,-7944,10076,-25222,-6343,-4194,268438473
1788,-7976,10124,-23906,-5735,-3680,268438473
2088,-8768,9244,-25141,-2419,-2902,268438473
1256,-11080,7248,-22418,-1564,-2897,268438473
1872,-12352,7564,-18771,-3606,-3038,268438473
2220,-13636,5728,-14858,-4261,-3327,268438473
3076,-15272,7200,-8281,-916,-2726,268438473
3272,-15552,6944,-5194,835,-1485,268438473
3880,-16316,7084,-848,1191,-490,268438473
4132,-15640,7648,2017,3198,1552,268438473
3192,-15492,6356,4943,5228,2988,268438473
3760,-15264,6088,9935,3866,3263,268438473
2528,-14224,7352,14309,146,2508,268438473
3484,-12696,9836,13549,-1165,2350,268438473
3264,-12248,10412,14217,378,3202,268438473
2520,-11280,11312,13972,2862,4034,268438473
1876,-11420,11740,12376,2836,4510,268438473
1684,-11104,11776,12183,397,5210,268438473
1216,-10300,12940,13927,2967,5339,268438473
608,-9996,12732,15081,6104,5441,268438473
-272,-8636,12652,13814,4279,5593,268438473
-568,-8464,12600,11895,-382,5505,268438473
-784,-7528,13436,13405,266,5004,268438473
-1144,-7004,13792,15319,3759,4010,268438473
-1108,-5484,14016,15798,2939,4181,268438473
-1628,-4980,14316,14892,812,4269,268438473
-1920,-4724,15244,14488,-1270,3925,268438473
-1936,-4224,15556,13854,-1141,2803,268438473
-2012,-3188,15308,12071,-1524,1536,268438473
-2204,-2536,15532,11772,-2822,702,268438473
-1256,-2384,16832,11560,-1607,-778,268438473
-1476,-1800,18224,10291,221,-1249,268438473
-436,-1028,20000,5958,-2196,-216,268438473
-2412,-472,23424,-3620,-9959,1181,268438473
-2736,-404,28684,-18428,-13653,-756,268438473
-1660,-56,28772,-32768,-1144,-6171,268438473
-804,-2696,20832,-32768,664,-4445,268438473
3104,-2096,-1928,-32768,-2130,-5343,268438473
4420,-11300,-9156,-32106,-21079,1553,268438473
3472,-11876,-6832,-811,-14207,10797,268438473
-4684,-1436,12280,32767,8410,6349,268438473
-7784,3676,32767,25312,7460,-7072,268438473
-7948,-1052,32767,-14994,4694,-16004,268438473
3944,-7888,15272,-24384,6804,-18134,268438473
14196,-13560,1928,-9596,-1104,1386,268438473
10752,-9968,1272,7551,-8718,19188,268438473
-2916,-4000,10972,17650,-95,20371,268438473
-17232,-568,29536,18626,13841,1915,268438473
4248,-5876,21468,-16896,8918,-24601,268438473
13856,-12472,-6272,-21592,-22350,2650,268438473
7740,-8036,-1604,-760,-21490,21216,268438473
-13336,-3544,13168,18315,4266,11642,268438473
