ax, ay, az, gx, gy, gz, temp
-108,488,16108,-72,-1840,333,268438473
32,420,16064,-65,-3155,985,268438473
-12,652,16072,257,-3474,1182,268438473
236,488,16268,388,-2807,741,268438473
264,448,16064,210,-2602,253,268438473
268,664,16136,-48,-2580,382,268438473
444,532,15656,-183,-3683,439,268438473
708,704,16276,-261,-5812,302,268438473
780,-12,15684,-475,-7031,211,268438473
1216,48,15636,166,-10159,446,268438473
1956,16,15484,813,-11713,134,268438473
3040,364,15544,1231,-11786,-409,268438473
3460,484,15564,1163,-11415,-1278,268438473
3528,452,15360,983,-13330,-1555,268438473
4016,444,15792,1513,-14679,-792,268438473
4960,900,15636,2073,-17325,-107,268438473
5708,1356,14840,1103,-17003,69,268438473
6556,1328,14456,-346,-17333,-726,268438473
7728,900,14492,-1160,-18378,-2083,268438473
8320,804,14428,-669,-19321,-1212,268438473
11068,528,13200,-433,-19221,-376,268438473
12716,576,12952,-751,-15297,-421,268438473
11788,840,11692,-1531,-16228,1022,268438473
12064,400,11216,-941,-22111,4329,268438473
14460,504,10192,349,-24527,7459,268438473
12500,580,9180,713,-18099,5745,268438473
11184,1028,9476,1042,-16325,1782,268438473
14280,1032,9308,-351,-18660,473,268438473
15356,380,7540,-1500,-17880,2156,268438473
14412,104,5792,-955,-16879,719,268438473
15236,664,5444,-1555,-19858,-2727,268438473
16008,-952,3264,-2840,-20683,-3341,268438473
15752,-1020,1780,-2417,-18335,-3029,268438473
16128,564,1464,-563,-19613,-3592,268438473
18208,452,880,729,-19834,-2233,268438473
17412,840,444,1033,-15119,-698,268438473
16256,724,-744,-1064,-12442,-2570,268438473
16388,476,-1268,-860,-12841,-2326,268438473
17216,560,-2636,1994,-16356,641,268438473
18712,1116,-4272,3412,-19375,3260,268438473
16728,488,-3988,1415,-14178,1963,268438473
15068,328,-4640,325,-14912,604,268438473
15784,572,-5628,2440,-19934,2452,268438473
17716,948,-7444,3272,-21919,5503,268438473
15800,884,-7100,76,-10834,1833,268438473
14936,-336,-7784,-2202,-3138,-1038,268438473
15744,-460,-9204,-1536,-594,-1733,268438473
16248,-528,-8852,1545,237,-64,268438473
